Rk,School,G,W 1997,L 1997,W-L% 1997,SRS,SOS,W 1997 Conf,L 1997 Conf,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,26,10,16,0.385,-5.51,2.59,2,12,,,,,1773,1813,,1040,612,1428,0.429,196,512,0.383,353,541,0.652,287,879,361,158,81,370,546
2,Akron,27,17,10,0.63,5.57,-0.66,13,5,,,,,2034,1825,,,731,1548,0.472,108,348,0.31,464,668,0.695,313,945,391,256,91,386,474
3,Alabama-Birmingham,33,21,12,0.636,6.92,4.67,10,6,,,,,2482,2381,,,860,1945,0.442,185,508,0.364,577,856,0.674,466,1335,454,253,92,569,719
4,Alabama State,28,11,17,0.393,-16.78,-10.28,6,10,,,,,1914,2064,,,671,1508,0.445,129,359,0.359,443,706,0.627,367,1022,254,245,61,579,545
5,Alabama,31,15,16,0.484,7.73,6.47,6,10,,,,,2168,2139,,,799,1953,0.409,186,574,0.324,384,548,0.701,495,1267,348,219,169,473,572
6,Alcorn State,27,12,15,0.444,-12.51,-8.29,8,8,,,,,1996,2040,,,745,1641,0.454,136,407,0.334,370,600,0.617,380,1038,376,221,90,475,539
7,American,28,9,19,0.321,-4.91,-0.5,5,11,,,,,1725,1836,,1120,597,1488,0.401,160,464,0.345,371,538,0.69,356,964,284,204,89,471,527
8,Appalachian State,29,21,8,0.724,-3.08,-5.81,13,2,,,,,2089,1917,,,741,1646,0.45,140,458,0.306,467,731,0.639,375,1068,412,224,112,432,512
9,Arizona State,32,18,14,0.563,7.94,8,8,10,,,,,2703,2688,,,1019,2118,0.481,172,478,0.36,493,661,0.746,379,1169,639,290,114,537,558
10,Arizona,35,30,5,0.857,24.58,8.38,17,1,,,,,3177,2610,,,1146,2350,0.488,269,714,0.377,616,860,0.716,513,1372,677,352,113,502,578
11,Little Rock,28,15,13,0.536,-5.4,-2.81,10,8,,,,,1887,1931,,,687,1533,0.448,134,407,0.329,379,588,0.645,308,958,405,150,85,390,497
12,Arkansas State,29,20,9,0.69,1.2,-3.11,14,4,,,,,2170,2045,,,767,1660,0.462,210,529,0.397,426,606,0.703,312,966,453,199,107,436,571
13,Arkansas,33,24,9,0.727,16.16,5.78,11,5,,,,,2716,2389,,1325,984,2208,0.446,237,671,0.353,511,788,0.648,524,1306,526,356,158,548,680
14,Army,27,8,19,0.296,-20.37,-8.18,2,10,,,,,1730,2028,,,593,1441,0.412,167,484,0.345,377,559,0.674,275,834,374,198,56,482,525
15,Auburn,30,16,14,0.533,7.45,5.95,7,9,,,,,2068,2023,,,743,1766,0.421,197,608,0.324,385,596,0.646,442,1183,372,215,152,492,560
16,Austin Peay,28,17,11,0.607,-4.73,-7.23,11,7,,,,,2013,1889,,1125,741,1682,0.441,184,552,0.333,347,532,0.652,387,1038,426,269,125,435,470
17,Ball State,29,21,8,0.724,7.46,0.68,14,4,,,,,2274,2005,,,852,1814,0.47,116,386,0.301,454,686,0.662,408,1012,426,349,67,433,606
18,Baylor,28,14,14,0.5,3.17,4.89,8,8,,,,,1970,2018,,,676,1629,0.415,217,650,0.334,401,648,0.619,362,1083,394,189,116,453,542
19,Bethune-Cookman,27,1,26,0.037,-27.35,-8.94,1,17,,,,,1644,2139,,,590,1557,0.379,102,421,0.242,362,636,0.569,369,933,240,252,80,631,647
20,Boise State,30,17,13,0.567,2.47,-0.53,9,7,,,,,2171,2072,,,736,1592,0.462,221,561,0.394,478,665,0.719,301,838,435,288,85,490,639
21,Boston College,31,15,16,0.484,5.14,6.48,6,12,,,,,2167,2198,,,791,1756,0.45,173,512,0.338,412,640,0.644,387,1107,406,238,109,496,522
