Rk,School,G,W 2008,L 2008,W-L% 2008,SRS,SOS,W 2008 Conf,L 2008 Conf,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,31,10,21,0.323,-2.99,2.37,0,16,7,10,1,9,1821,1936,,1240,611,1389,0.44,206,546,0.377,393,583,0.674,229,879,378,155,70,407,542
2,Akron,36,23,13,0.639,3.37,-2.01,10,6,11,3,8,8,2403,2171,,1455,823,1969,0.418,258,776,0.332,499,705,0.708,424,1199,446,270,80,490,745
3,Alabama A&M,27,8,19,0.296,-19.72,-11.63,6,12,6,7,2,11,1761,1954,,,608,1566,0.388,121,454,0.267,424,638,0.665,340,948,298,224,90,448,549
4,Alabama-Birmingham,34,22,12,0.647,10.05,3.67,11,5,13,1,7,8,2461,2244,,1375,880,1935,0.455,228,676,0.337,473,669,0.707,328,1169,430,224,69,387,568
5,Alabama State,32,22,10,0.688,-6.13,-11.2,16,2,10,1,8,7,2202,2025,,,816,1752,0.466,181,550,0.329,389,614,0.634,358,1130,445,182,153,435,558
6,Alabama,32,18,14,0.563,5.49,3.99,7,9,13,5,2,7,2349,2254,,1295,845,1913,0.442,157,479,0.328,502,711,0.706,441,1264,357,235,144,464,546
7,Albany (NY),31,15,16,0.484,-6.63,-4.11,6,10,10,4,5,12,1984,2038,,1245,715,1713,0.417,130,442,0.294,424,590,0.719,425,1206,367,160,63,474,626
8,Alcorn State,31,6,25,0.194,-25.55,-10.26,4,14,5,7,1,15,2156,2588,,,742,1901,0.39,187,571,0.327,485,709,0.684,318,992,309,257,55,455,609
9,American,32,24,8,0.75,-0.05,-5.49,13,1,13,1,11,6,2065,1891,,1290,751,1614,0.465,230,615,0.374,333,514,0.648,302,1046,421,176,79,422,581
10,Appalachian State,31,13,18,0.419,-8.44,-5.44,9,11,7,7,5,9,2356,2381,,1270,799,1768,0.452,239,642,0.372,519,733,0.708,404,1220,407,187,106,542,626
11,Arizona State,35,25,10,0.714,16.7,7.82,11,7,12,3,6,4,2428,2117,,1420,825,1718,0.48,288,778,0.37,490,665,0.737,288,1085,544,201,72,401,557
12,Arizona,35,21,14,0.6,11.88,8.8,9,9,14,3,2,9,2529,2421,,1405,897,1892,0.474,212,548,0.387,523,709,0.738,387,1183,500,217,104,442,548
13,Little Rock,31,23,8,0.742,-0.66,-3.72,15,3,11,4,11,3,2059,1964,,1255,711,1589,0.447,159,445,0.357,478,714,0.669,335,1079,404,171,108,465,608
14,Arkansas-Pine Bluff,31,13,18,0.419,-15.45,-7.48,11,7,6,3,6,14,1943,2190,,,709,1768,0.401,124,431,0.288,401,649,0.618,446,1179,339,271,84,605,705
15,Arkansas State,30,13,17,0.433,-5.42,-4.31,5,13,9,5,4,12,1996,1948,,1225,731,1685,0.434,144,442,0.326,390,571,0.683,347,1094,402,201,109,408,501
16,Arkansas,30,14,16,0.467,3.79,3.89,2,14,12,6,1,9,2238,2213,,1215,797,1821,0.438,202,608,0.332,442,679,0.651,381,1129,390,227,86,419,521
17,Army,30,11,19,0.367,-10.11,-7.59,6,8,7,7,4,12,1741,1823,,,644,1533,0.42,144,427,0.337,309,448,0.69,237,876,396,224,75,459,579
18,Auburn,36,24,12,0.667,9.93,3.56,10,6,18,4,5,5,2620,2354,,1445,928,2116,0.439,278,832,0.334,486,802,0.606,422,1323,507,327,123,470,674
19,Austin Peay,33,19,14,0.576,-4.2,-3.69,13,5,9,5,9,7,2485,2449,,1340,885,1877,0.471,225,616,0.365,490,712,0.688,359,1121,486,224,105,446,610
20,Ball State,31,14,17,0.452,-5.5,-3.02,7,9,10,6,3,10,1795,1852,,1255,646,1572,0.411,134,395,0.339,369,604,0.611,333,1071,333,158,63,406,572
21,Baylor,39,24,15,0.615,12.54,7.93,5,11,14,5,4,7,2965,2732,,,1024,2191,0.467,320,876,0.365,597,838,0.712,411,1332,484,282,146,501,717
22,Belmont,33,20,13,0.606,0.39,-1.37,14,6,12,3,8,9,2528,2334,,,869,1961,0.443,336,950,0.354,454,664,0.684,390,1186,549,261,84,479,638
