Rk,School,G,W 2006,L 2006,W-L% 2006,SRS,SOS,W 2006 Conf,L 2006 Conf,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,35,26,9,0.743,15.19,3.34,10,6,17,1,6,5,2414,1960,,1400,815,1662,0.49,316,789,0.401,468,620,0.755,231,969,533,234,57,359,526
2,Akron,33,26,7,0.788,10.9,-1.9,13,3,13,1,10,4,2485,2014,,,900,1857,0.485,245,624,0.393,440,657,0.67,399,1159,503,267,141,414,611
3,Alabama A&M,30,10,20,0.333,-23.55,-12.38,4,14,9,5,0,13,1856,2052,,1205,653,1690,0.386,150,555,0.27,400,633,0.632,344,1071,324,224,236,539,600
4,Alabama-Birmingham,31,15,16,0.484,3.97,3.83,7,9,9,4,5,9,2051,2016,,,707,1663,0.425,204,612,0.333,433,711,0.609,353,1095,348,207,107,428,523
5,Alabama State,30,10,20,0.333,-17.9,-11.54,8,10,7,5,3,11,1826,2007,,1205,601,1650,0.364,177,580,0.305,447,690,0.648,393,1031,283,183,83,421,607
6,Alabama,32,20,12,0.625,10.81,6.24,7,9,14,2,2,9,2369,2223,,,844,1849,0.456,209,563,0.371,472,667,0.708,437,1242,420,181,170,441,460
7,Albany (NY),33,23,10,0.697,-1.6,-4.75,13,3,11,2,11,7,2241,2147,,1330,798,1762,0.453,227,607,0.374,418,579,0.722,364,1112,436,191,82,437,634
8,Alcorn State,30,11,19,0.367,-22.48,-13.23,10,8,8,3,3,12,2012,2265,,,705,1706,0.413,146,508,0.287,456,678,0.673,380,1077,283,196,82,561,719
9,American,30,16,14,0.533,-2.68,-4.38,7,7,10,3,6,11,1945,1865,,,678,1584,0.428,172,502,0.343,417,572,0.729,313,1037,404,173,71,414,563
10,Appalachian State,33,25,8,0.758,4.68,-1.19,15,3,12,1,9,6,2508,2239,,,914,1909,0.479,252,693,0.364,428,622,0.688,386,1146,516,285,121,487,594
11,Arizona State,30,8,22,0.267,3.31,7.95,2,16,7,11,1,10,1755,1853,,1205,633,1535,0.412,196,616,0.318,293,447,0.655,355,975,392,181,60,434,538
12,Arizona,31,20,11,0.645,16.24,10.76,11,7,11,5,7,4,2417,2247,,1250,846,1770,0.478,172,505,0.341,553,737,0.75,380,1158,511,189,103,427,425
13,Little Rock,30,13,17,0.433,-9.87,-5.56,8,10,7,6,5,11,1979,2075,,1205,680,1590,0.428,165,518,0.319,454,678,0.67,409,1068,393,157,73,449,549
14,Arkansas-Pine Bluff,31,12,19,0.387,-17.21,-10.86,9,9,7,3,4,15,1862,2022,,,690,1750,0.394,115,425,0.271,367,587,0.625,366,1161,300,198,131,486,578
15,Arkansas State,33,18,15,0.545,-6.47,-5.63,11,7,11,2,5,10,2392,2375,,,831,1820,0.457,241,608,0.396,489,718,0.681,353,1176,457,196,123,508,653
16,Arkansas,35,21,14,0.6,13.77,8.75,7,9,13,3,2,8,2487,2311,,1405,881,1910,0.461,212,613,0.346,513,730,0.703,392,1233,521,240,221,532,612
17,Army,31,15,16,0.484,-9.06,-4.52,4,10,10,4,3,12,1896,1892,,1250,664,1535,0.433,187,473,0.395,381,547,0.697,280,971,412,221,88,501,593
18,Auburn,32,17,15,0.531,6.77,7.47,7,9,15,5,2,7,2340,2307,,,851,1876,0.454,235,701,0.335,403,639,0.631,392,1164,532,270,130,526,613
19,Austin Peay,33,21,12,0.636,-3.45,-5.09,16,4,13,2,7,9,2310,2211,,1335,797,1795,0.444,207,593,0.349,509,746,0.682,390,1097,439,255,96,435,580
20,Ball State,31,9,22,0.29,-4.47,1.03,5,11,7,7,2,11,1848,1974,,,645,1676,0.385,125,459,0.272,433,623,0.695,391,1012,320,242,74,419,644
21,Baylor,31,15,16,0.484,5.42,3.88,4,12,13,5,0,9,2333,2262,,1250,825,1793,0.46,252,694,0.363,431,641,0.672,396,1123,434,184,116,451,625
22,Belmont,33,23,10,0.697,-0.39,-4.71,14,4,9,2,10,6,2390,2128,,1330,848,1836,0.462,288,811,0.355,406,587,0.692,373,1228,513,201,105,528,605
23,Bethune-Cookman,30,9,21,0.3,-20.71,-9.53,6,12,6,7,3,13,1631,1925,,,578,1485,0.389,136,447,0.304,339,553,0.613,321,950,321,198,92,485,574
24,Binghamton,29,13,16,0.448,-8.06,-6.96,6,10,7,6,5,9,1905,1918,,,673,1592,0.423,214,611,0.35,345,505,0.683,309,966,302,216,59,416,586
25,Boise State,31,17,14,0.548,3,0,8,8,13,2,3,11,2360,2234,,1250,837,1828,0.458,220,649,0.339,466,705,0.661,359,1190,457,208,108,475,538
26,Boston College,33,21,12,0.636,13.76,9.21,10,6,14,4,5,6,2453,2303,,1330,842,1763,0.478,196,562,0.349,573,791,0.724,394,1142,483,188,191,455,505
27,Boston University,30,12,18,0.4,-4.62,-4.65,8,8,7,7,5,10,1802,1801,,1225,622,1480,0.42,208,577,0.36,350,517,0.677,320,959,343,162,103,425,573
28,Bowling Green State,31,13,18,0.419,-5.48,-1.08,3,13,8,7,3,10,2062,2137,,1245,730,1661,0.439,209,597,0.35,393,581,0.676,270,999,453,230,114,440,717
29,Bradley,35,22,13,0.629,10.89,7.22,10,8,14,3,5,8,2616,2475,,,924,2011,0.459,349,831,0.42,419,618,0.678,312,1046,544,291,82,399,647
30,Brigham Young,34,25,9,0.735,11.38,3.95,13,3,17,0,6,7,2654,2347,,,972,1981,0.491,256,617,0.415,454,688,0.66,414,1273,542,205,118,456,662
31,Brown,29,11,18,0.379,-7.03,-4.21,6,8,6,4,4,12,1759,1840,,,539,1250,0.431,204,552,0.37,477,643,0.742,180,759,357,209,75,447,534
32,Bucknell,31,22,9,0.71,2.84,-3.03,13,1,10,2,11,6,1965,1791,,1250,662,1415,0.468,188,508,0.37,453,627,0.722,264,953,427,196,47,456,532
33,Buffalo,31,12,19,0.387,-3.92,-0.15,4,12,8,7,2,11,2109,2226,,,712,1734,0.411,165,523,0.315,520,752,0.691,456,1186,427,237,79,592,661
34,Butler,36,29,7,0.806,14.34,3.94,13,3,14,2,8,4,2434,2056,,1465,780,1792,0.435,321,871,0.369,553,728,0.76,326,1068,437,195,64,341,688
35,Cal Poly,30,19,11,0.633,-2.33,-3.83,9,5,12,2,5,7,2265,2160,,1200,806,1733,0.465,280,713,0.393,373,583,0.64,318,1056,430,201,99,388,517
36,Cal State Fullerton,30,20,10,0.667,-1.91,-5.3,9,5,12,2,7,7,2462,2291,,,905,1973,0.459,247,673,0.367,405,629,0.644,427,1180,519,204,65,463,584
37,Cal State Northridge,31,14,17,0.452,-6.12,-1.88,5,9,10,5,2,11,2340,2353,,1250,831,1852,0.449,168,509,0.33,510,716,0.712,445,1204,453,278,77,592,771
38,UC-Irvine,33,15,18,0.455,-3.77,-1.43,6,8,9,3,3,13,2186,2210,,1325,756,1673,0.452,202,561,0.36,472,652,0.724,295,1168,430,144,135,538,603
39,UC-Riverside,31,7,24,0.226,-15.19,-3.08,1,13,4,8,2,14,1991,2249,,1240,730,1832,0.398,219,665,0.329,312,454,0.687,338,998,365,240,46,424,563
40,UC-Santa Barbara,29,18,11,0.621,-0.81,-3.47,9,5,8,6,10,4,2065,1955,,,728,1550,0.47,184,497,0.37,425,586,0.725,283,1005,402,180,88,402,472
41,University of California,33,16,17,0.485,8.64,8.67,6,12,8,7,3,8,2293,2281,,,822,1850,0.444,249,693,0.359,400,520,0.769,308,1018,447,151,63,385,559
42,Campbell,31,14,17,0.452,-10.88,-5.42,7,11,12,3,1,13,2433,2446,,,810,1806,0.449,236,692,0.341,577,799,0.722,344,1109,509,300,93,553,601
43,Canisius,31,12,19,0.387,-8.22,-5.16,6,12,4,9,7,9,2154,2249,,1265,776,1839,0.422,214,638,0.335,388,596,0.651,456,1149,408,217,76,511,634
44,Centenary (LA),31,10,21,0.323,-9.17,-2.62,3,11,8,5,1,13,2125,2328,,,754,1715,0.44,175,504,0.347,442,617,0.716,,933,414,247,62,476,668
45,Central Connecticut State,34,22,12,0.647,-3.63,-6.48,16,2,13,4,9,5,2344,2247,,1365,790,1822,0.434,262,688,0.381,502,688,0.73,401,1180,424,204,115,481,544
46,Central Florida,31,22,9,0.71,4.74,-1.48,11,5,15,1,5,6,2258,2020,,,762,1621,0.47,239,606,0.394,495,684,0.724,348,1078,467,237,108,483,607
