Rk,School,G,W 2001,L 2001,W-L% 2001,SRS,SOS,W 2001 Conf,L 2001 Conf,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,28,9,19,0.321,-0.95,3.23,3,11,5,6,2,12,1605,1722,,1160,533,1151,0.463,208,558,0.373,331,465,0.712,154,614,327,228,39,390,
2,Akron,31,10,21,0.323,-4.84,0.36,5,13,6,6,3,9,2154,2304,,1250,709,1581,0.448,182,491,0.371,554,731,0.758,295,933,416,180,77,450,
3,Alabama A&M,29,19,10,0.655,-11.33,-15.81,12,6,12,2,7,7,2318,2123,,1160,814,2010,0.405,212,681,0.311,478,711,0.672,506,1217,426,395,116,504,
4,Alabama-Birmingham,30,13,17,0.433,5.56,2.96,6,10,11,4,1,10,2110,2032,,1210,739,1763,0.419,204,585,0.349,428,623,0.687,376,1117,433,231,87,448,
5,Alabama State,32,19,13,0.594,-13.25,-14.15,12,6,12,2,5,9,2095,2067,,1290,715,1681,0.425,182,533,0.341,483,755,0.64,389,1167,314,217,89,538,
6,Alabama,35,27,8,0.771,16.93,7.67,12,4,17,0,4,4,2658,2334,,,910,2071,0.439,217,703,0.309,621,844,0.736,509,1369,460,257,113,490,
7,Albany (NY),28,8,20,0.286,-16.99,-8.85,5,11,5,7,3,12,1593,1821,,1125,594,1538,0.386,163,497,0.328,242,361,0.67,310,904,285,195,83,405,
8,Alcorn State,31,21,10,0.677,-11.28,-14.18,16,2,11,0,8,9,2473,2374,,,900,1935,0.465,173,458,0.378,500,777,0.644,453,1243,496,258,125,538,
9,American,30,18,12,0.6,-5,-6.2,10,4,8,6,8,6,1977,1941,,1215,680,1507,0.451,215,604,0.356,402,554,0.726,272,983,412,201,78,482,
10,Appalachian State,28,10,18,0.357,-7.53,-0.65,5,11,7,6,3,11,2140,2211,,1125,745,1700,0.438,170,481,0.353,480,703,0.683,367,1048,426,241,77,480,
