Rk,School,G,W 1993,L 1993,W-L% 1993,SRS,SOS,W 1993 Conf,L 1993 Conf,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,26,8,18,0.308,-6.27,2.41,3,15,,,,,1813,1923,,,613,1489,0.412,142,420,0.338,445,630,0.706,,889,281,168,111,331,509
2,Akron,26,8,18,0.308,-8.14,-2.22,2,16,,,,,1601,,,,593,1480,0.401,104,352,0.295,311,500,0.622,,,335,213,43,,
3,Alabama-Birmingham,30,22,8,0.733,14.71,3.51,8,4,,,,,2142,1806,,,778,1774,0.439,201,528,0.381,385,566,0.68,,1132,382,230,86,359,519
4,Alabama State,29,19,10,0.655,-8.33,-12.09,10,4,,,,,2444,2329,,,905,1937,0.467,106,310,0.342,528,793,0.666,,1262,397,221,71,435,523
5,Alabama,30,20,10,0.667,10.19,6.06,12,4,,,,,2208,2084,,,787,1760,0.447,158,468,0.338,476,723,0.658,,1187,392,238,155,508,583
6,Alcorn State,27,3,24,0.111,-25.14,-8.78,3,11,,,,,2015,2410,,,754,1797,0.42,161,438,0.368,346,540,0.641,,933,292,208,48,462,523
7,American,27,8,19,0.296,-9.58,-2.18,5,9,,,,,2049,2249,,,738,1757,0.42,153,421,0.363,420,641,0.655,,1027,386,223,76,415,528
8,Appalachian State,27,16,11,0.593,-2.44,-2.71,12,6,,,,,2070,2055,,,748,1599,0.468,165,446,0.37,409,609,0.672,,919,387,180,120,380,470
9,Arizona State,28,15,13,0.536,9.55,7.8,10,8,,,,,2158,2109,,,759,1729,0.439,208,628,0.331,432,659,0.656,,1018,387,238,81,424,528
10,Arizona,35,29,6,0.829,23.7,8.84,14,4,,,,,3124,2604,,,1108,2288,0.484,279,787,0.355,629,884,0.712,,1453,581,285,102,481,637
11,Little Rock,28,13,15,0.464,-2.24,-2.99,6,12,,,,,2057,2030,,,706,1692,0.417,150,434,0.346,495,716,0.691,,1078,349,235,75,431,591
12,Arkansas State,27,15,12,0.556,-0.2,-2.31,10,8,,,,,1839,1782,,,631,1580,0.399,176,557,0.316,401,612,0.655,,954,377,244,88,424,535
13,Arkansas,34,31,3,0.912,23.88,7.55,14,2,,,,,3176,2569,,,1154,2363,0.488,301,777,0.387,567,834,0.68,,1416,687,352,129,539,708
14,Army,27,7,20,0.259,-17.48,-7.6,4,10,,,,,2095,2310,,,711,1641,0.433,161,482,0.334,512,751,0.682,,1021,342,163,42,451,610
15,Auburn,28,11,17,0.393,7.95,7.17,3,13,,,,,2288,2266,,,854,1689,0.506,182,479,0.38,398,610,0.652,,1069,457,129,69,489,544
16,Austin Peay,27,11,16,0.407,-8.74,-4.39,10,6,,,,,2156,2209,,,772,1696,0.455,140,372,0.376,472,729,0.647,,1124,378,229,106,471,551
17,Ball State,28,16,12,0.571,1.28,-0.53,11,7,,,,,2081,2022,,,784,1610,0.487,141,353,0.399,372,544,0.684,,983,452,177,63,458,488
18,Baylor,27,16,11,0.593,0.79,-0.99,7,7,,,,,2308,2260,,,804,1907,0.422,178,547,0.325,522,765,0.682,,1358,449,154,127,457,549
19,Bethune-Cookman,27,9,18,0.333,-17.62,-8.58,8,8,,,,,1916,2160,,,669,1712,0.391,145,475,0.305,433,694,0.624,,1062,292,269,69,514,607
20,Boise State,30,17,13,0.567,2.03,0.25,7,7,,,,,2174,2071,,,848,1778,0.477,96,318,0.302,382,647,0.59,,1099,520,267,143,486,555
21,Boston College,34,23,11,0.676,16.8,9.83,11,7,,,,,2658,2381,,,944,2004,0.471,234,579,0.404,536,786,0.682,,1286,536,236,70,463,604
22,Boston University,27,11,16,0.407,-9.2,-6.98,4,10,,,,,2013,2076,,,732,1549,0.473,142,398,0.357,407,644,0.632,,1073,432,194,158,486,544
