Rk,School,G,W 1998,L 1998,W-L% 1998,SRS,SOS,W 1998 Conf,L 1998 Conf,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,26,10,16,0.385,-4,2.53,2,12,,,,,1981,2085,,,629,1703,0.369,233,738,0.316,490,700,0.7,443,1086,281,209,79,377,585
2,Akron,27,18,9,0.667,5.15,1.11,12,6,,,,,2031,1905,,,676,1497,0.452,160,439,0.364,519,692,0.75,302,880,386,217,69,363,462
3,Alabama-Birmingham,32,20,12,0.625,8.87,5.4,10,6,,,,,2368,2257,,,855,1889,0.453,155,480,0.323,503,740,0.68,441,1237,465,293,88,545,631
4,Alabama State,27,11,16,0.407,-15.31,-9.83,8,8,,,,,1815,1891,,,619,1496,0.414,124,397,0.312,453,703,0.644,406,1045,296,243,62,522,485
5,Alabama,32,17,15,0.531,5.73,6.66,6,10,,,,,2144,2174,,,782,1810,0.432,134,400,0.335,446,626,0.712,446,1215,383,233,115,536,626
6,Alcorn State,30,23,7,0.767,-2.88,-10.48,14,2,,,,,2274,2007,,,796,1902,0.419,186,576,0.323,496,772,0.642,552,1365,404,329,118,579,593
7,American,28,7,21,0.25,-8.95,-1.6,2,14,,,,,1805,1951,,,663,1694,0.391,119,400,0.298,360,566,0.636,456,1132,322,235,100,525,493
8,Appalachian State,29,21,8,0.724,-0.48,-5.32,13,3,,,,,2168,1916,,,776,1661,0.467,137,371,0.369,479,714,0.671,365,1076,465,307,102,457,546
9,Arizona State,30,14,16,0.467,9.04,8.25,6,12,,,,,2236,2167,,,804,1820,0.442,177,532,0.333,451,648,0.696,386,1101,512,249,77,460,595
10,Arizona,29,22,7,0.759,15.28,8.31,13,5,,,,,2383,2181,,,820,1754,0.468,143,409,0.35,600,845,0.71,437,1208,419,213,93,487,522
11,Little Rock,27,12,15,0.444,-7.74,-2.94,5,9,,,,,1790,1904,,,648,1391,0.466,174,458,0.38,320,463,0.691,255,861,343,128,62,389,381
12,Arkansas-Pine Bluff,27,3,24,0.111,-27.2,-8.07,1,15,,,,,1891,2313,,,728,1839,0.396,123,457,0.269,312,530,0.589,377,1008,347,245,94,483,543
13,Arkansas State,30,18,12,0.6,3.31,-0.72,9,5,,,,,2206,2061,,,798,1748,0.457,159,488,0.326,451,655,0.689,359,1028,447,265,103,449,580
14,Arkansas,34,23,11,0.676,12.83,6.01,9,7,,,,,2675,2443,,1365,980,2206,0.444,296,808,0.366,419,632,0.663,485,1266,563,332,147,494,633
