Rk,School,G,W 1994,L 1994,W-L% 1994,SRS,SOS,W 1994 Conf,L 1994 Conf,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,28,8,20,0.286,-4.05,4.95,4,14,,,,,1882,2029,,,651,1642,0.396,158,497,0.318,422,615,0.686,,942,323,186,98,544,544
2,Akron,26,8,18,0.308,-7.59,0.97,4,14,,,,,1565,1764,,,573,1416,0.405,109,338,0.322,310,477,0.65,,807,325,217,55,422,608
3,Alabama-Birmingham,30,14,16,0.467,3.42,2.94,5,7,,,,,2129,2120,,,762,1891,0.403,132,451,0.293,473,707,0.669,,1292,314,231,113,493,655
4,Alabama State,26,11,15,0.423,-15.86,-8.27,8,6,,,,,2100,2246,,,764,1820,0.42,123,413,0.298,449,705,0.637,,1177,409,183,79,421,530
5,Alabama,33,23,10,0.697,15.47,6.59,10,6,,,,,2408,2115,,,892,1971,0.453,207,618,0.335,417,648,0.644,,1385,501,200,201,520,585
6,Alcorn State,26,7,19,0.269,-17.9,-9.08,4,10,,,,,2130,2283,,,765,1778,0.43,202,576,0.351,398,581,0.685,,1024,380,270,66,440,591
7,American,28,9,19,0.321,-9.32,-2.5,7,7,,,,,2088,2279,,,721,1760,0.41,236,615,0.384,410,608,0.674,,1010,360,178,38,387,506
8,Appalachian State,29,9,20,0.31,-10.75,-2.97,4,10,,,,,2125,2285,,,774,1721,0.45,170,527,0.323,407,563,0.723,,1030,462,204,93,504,504
9,Arizona State,33,24,9,0.727,16.75,9.06,12,6,,,,,2585,2331,,,954,2034,0.469,212,630,0.337,465,750,0.62,,1161,608,345,165,542,617
10,Arizona,31,23,8,0.742,19.13,10.4,13,5,,,,,2631,2350,,,948,1961,0.483,245,593,0.413,490,746,0.657,,1285,559,222,95,526,564
11,Little Rock,29,17,12,0.586,-1.43,-5.14,9,9,,,,,2198,2064,,,785,1856,0.423,145,421,0.344,483,774,0.624,,1219,369,213,103,409,622
12,Arkansas State,28,8,20,0.286,-14.25,-4.79,3,15,,,,,1854,2072,,,674,1687,0.4,137,450,0.304,369,558,0.661,,978,383,234,85,479,598
13,Arkansas,39,32,7,0.821,16.85,10.45,12,4,,,,,3416,3115,,,1223,2634,0.464,361,917,0.394,609,902,0.675,,1528,721,445,129,633,789
14,Army,28,12,16,0.429,-17.95,-11.25,4,10,,,,,2068,2222,,,677,1634,0.414,187,512,0.365,517,735,0.703,,1004,349,153,45,419,601
15,Auburn,29,16,13,0.552,9.17,6.98,7,9,,,,,2230,2124,,,784,1662,0.472,222,606,0.366,440,615,0.715,,1049,493,216,70,495,513
16,Austin Peay,29,13,16,0.448,-7.23,-4.6,8,8,,,,,2193,2210,,,775,1713,0.452,149,443,0.336,494,704,0.702,,1001,388,217,90,422,563
17,Ball State,30,19,11,0.633,5.3,2.55,11,7,,,,,2334,2183,,,841,1764,0.477,175,488,0.359,477,728,0.655,,1060,494,267,85,470,609
18,Baylor,28,9,19,0.321,-6.05,-0.31,3,11,,,,,2273,2409,,,821,1972,0.416,265,783,0.338,366,554,0.661,,1165,482,175,110,447,615
19,Bethune-Cookman,28,12,16,0.429,-16.73,-9.17,9,7,,,,,2143,2251,,,765,1768,0.433,147,482,0.305,466,691,0.674,,1109,415,225,98,462,564
20,Boise State,27,17,10,0.63,4.4,-0.45,7,7,,,,,1936,1807,,,708,1556,0.455,105,360,0.292,415,646,0.642,,876,408,260,88,339,481
21,Boston College,28,9,19,0.321,0.68,5.46,2,16,,,,,2017,2139,,,709,1556,0.456,110,345,0.319,489,702,0.697,,1107,372,203,69,558,546
22,Boston University,31,15,16,0.484,-3.19,-2.22,7,9,,,,,2031,2061,,,721,1703,0.423,118,381,0.31,471,694,0.679,,1183,411,173,139,476,621
23,Bowling Green State,27,16,11,0.593,2.76,0.88,10,8,,,,,1925,1827,,,721,1427,0.505,145,401,0.362,338,506,0.668,,902,394,163,60,424,439
24,Bradley,30,20,10,0.667,8.35,3.15,12,6,,,,,2132,1966,,,746,1639,0.455,162,426,0.38,478,658,0.726,,1046,435,226,93,393,581
25,Brigham Young,32,22,10,0.688,11.65,5.71,13,5,,,,,2405,2214,,,809,1743,0.464,170,486,0.35,617,798,0.773,,1124,498,225,99,448,601
26,Brown,26,13,13,0.5,-9.56,-6.64,8,6,,,,,1764,1840,,,604,1421,0.425,173,462,0.374,383,554,0.691,,861,359,176,72,387,486
27,Bucknell,27,13,14,0.481,-7.21,-8.88,11,3,,,,,1886,1841,,,673,1457,0.462,132,341,0.387,408,571,0.715,,942,330,159,73,430,486
28,Buffalo,28,18,10,0.643,-5.29,-9.33,12,6,,,,,2152,2051,,,792,1763,0.449,171,543,0.315,397,584,0.68,,1094,456,248,114,452,519
29,Butler,27,15,12,0.556,-0.99,-2.3,8,7,,,,,1984,1921,,,684,1482,0.462,118,349,0.338,498,795,0.626,,1089,362,143,66,465,498
30,Cal Poly,27,1,26,0.037,-30.38,-0.65,0,6,,,,,1493,2273,,,575,1444,0.398,92,284,0.324,251,425,0.591,,821,287,189,53,602,615
31,Cal State Fullerton,27,7,20,0.259,-6.28,2.79,5,13,,,,,1914,2159,,,651,1600,0.407,154,482,0.32,458,690,0.664,,958,343,206,76,474,474
32,Cal State Northridge,28,8,20,0.286,-11.07,-1.34,4,2,,,,,2002,2284,,,695,1642,0.423,176,512,0.344,436,626,0.696,,1007,388,197,90,535,620
33,UC-Irvine,29,13,16,0.448,-0.16,3.09,6,12,,,,,2225,2302,,,763,1762,0.433,189,567,0.333,510,764,0.668,,1154,439,144,71,460,582
34,UC-Santa Barbara,27,13,14,0.481,1.73,0.47,8,10,,,,,1943,1909,,,682,1501,0.454,164,460,0.357,415,599,0.693,,991,410,177,130,426,543
35,University of California,27,13,14,0.481,11.04,8.96,5,13,,,,,2158,2102,,,761,1661,0.458,189,530,0.357,447,712,0.628,,1003,445,210,107,429,556
36,Campbell,26,8,18,0.308,-17.19,-5.23,4,12,,,,,1612,1878,,,597,1514,0.394,135,433,0.312,283,424,0.667,,855,336,153,52,375,452
37,Canisius,35,21,14,0.6,2.72,1.18,10,4,,,,,2441,2386,,,851,2018,0.422,202,669,0.302,537,739,0.727,,1178,504,244,110,487,494
38,Centenary (LA),27,10,17,0.37,-11.9,-5.94,7,9,,,,,2174,2299,,,786,1830,0.43,211,641,0.329,391,554,0.706,,972,473,241,105,383,515
39,Central Connecticut State,26,8,18,0.308,-17.43,-8.62,6,12,,,,,1815,2065,,,686,1536,0.447,93,319,0.292,350,549,0.638,,1055,385,187,194,553,584
40,Central Florida,27,11,16,0.407,-9.51,-6.58,7,9,,,,,2037,2104,,,774,1710,0.453,142,405,0.351,347,529,0.656,,1076,420,184,99,464,569
41,Central Michigan,26,3,23,0.115,-13.36,1.64,0,18,,,,,1662,1992,,,601,1459,0.412,131,364,0.36,329,488,0.674,,831,255,111,41,387,500
42,Charleston Southern,29,19,10,0.655,-4.47,-6.51,12,4,,,,,2149,2090,,,778,1740,0.447,149,426,0.35,444,650,0.683,,1179,398,208,97,466,565
