Rk,School,G,W 1999,L 1999,W-L% 1999,SRS,SOS,W 1999 Conf,L 1999 Conf,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,28,8,20,0.286,-5.07,2.58,4,10,,,,,1889,2046,,,654,1673,0.391,184,590,0.312,397,610,0.651,412,1009,336,243,53,408,587
2,Akron,28,17,11,0.607,3.44,1.32,11,7,,,,,2126,2009,,,705,1574,0.448,131,406,0.323,585,767,0.763,316,981,431,226,89,389,505
3,Alabama A&M,28,18,10,0.643,-12.27,-12.07,14,4,,,,,2126,2036,,,764,1929,0.396,168,550,0.305,430,661,0.651,530,1196,386,366,99,510,548
4,Alabama-Birmingham,28,14,14,0.5,3.41,4.94,7,9,,,,,2053,2096,,,737,1771,0.416,145,466,0.311,434,664,0.654,411,1084,365,257,87,451,566
5,Alabama State,28,13,15,0.464,-16.56,-12.35,10,8,,,,,1867,1931,,,648,1551,0.418,144,446,0.323,429,672,0.638,367,1045,341,238,83,530,473
6,Alabama,29,13,16,0.448,7.44,7.62,6,10,,,,,2094,2099,,,715,1665,0.429,186,540,0.344,478,673,0.71,412,1212,312,184,120,,
7,Albany (NY),28,11,17,0.393,-15.51,-9.59,,,,,,,1828,1920,,,663,1545,0.429,236,649,0.364,266,385,0.691,249,859,402,234,111,468,493
8,Alcorn State,29,19,10,0.655,-9.9,-11.6,15,3,,,,,2161,2036,,,767,1727,0.444,135,455,0.297,458,654,0.7,460,1177,410,300,71,549,555
9,American,29,11,18,0.379,-6.13,-3.42,5,11,,,,,1904,1962,,,714,1778,0.402,118,411,0.287,358,566,0.633,419,1103,376,274,118,476,561
10,Appalachian State,32,23,9,0.719,2.49,-3.75,13,3,,,,,2530,2228,,,915,1882,0.486,200,515,0.388,500,705,0.709,374,1151,534,325,127,506,627
11,Arizona State,32,19,13,0.594,12.11,8.75,10,8,,,,,2539,2395,,,924,2127,0.434,162,481,0.337,529,726,0.729,503,1236,516,274,87,485,776
12,Arizona,34,27,7,0.794,18.97,9.7,15,3,,,,,2599,2284,,,904,1976,0.457,155,482,0.322,636,871,0.73,412,1306,537,255,192,510,496
13,Little Rock,28,4,24,0.143,-12.17,-2.77,1,15,,,,,1885,2148,,,662,1493,0.443,182,505,0.36,379,551,0.688,268,851,329,151,60,424,578
14,Arkansas-Pine Bluff,27,6,21,0.222,-24.29,-10.05,5,13,,,,,1828,2164,,,667,1568,0.425,95,359,0.265,399,667,0.598,353,1042,327,277,91,591,534
15,Arkansas State,28,10,18,0.357,-4.73,-0.48,7,9,,,,,2004,2123,,,714,1637,0.436,191,569,0.336,385,547,0.704,307,951,423,215,66,426,552
16,Arkansas,34,19,15,0.559,12.37,7.76,7,9,,,,,2529,2372,,,931,2168,0.429,292,832,0.351,375,622,0.603,451,1159,458,379,120,494,705
17,Army,28,5,23,0.179,-19.89,-6.43,2,10,,,,,1482,1796,,,536,1476,0.363,132,429,0.308,278,449,0.619,307,903,266,222,62,516,600
18,Auburn,34,24,10,0.706,13.59,8.2,9,7,,,,,2423,2190,,,874,2118,0.413,227,695,0.327,448,684,0.655,533,1335,438,247,110,450,582
19,Austin Peay,28,18,10,0.643,0.95,-3.29,11,7,,,,,2110,1949,,,797,1618,0.493,160,438,0.365,356,492,0.724,326,994,426,175,106,396,448
20,Ball State,31,22,9,0.71,7.84,3.17,11,7,,,,,2300,2138,,,834,1840,0.453,215,538,0.4,417,681,0.612,398,1138,428,258,131,420,530
21,Baylor,29,14,15,0.483,2.2,4.59,4,12,,,,,1933,1966,,,686,1622,0.423,207,639,0.324,354,550,0.644,332,1034,429,257,129,496,492
22,Belmont,28,7,21,0.25,-10.98,-1.39,,,,,,,1923,2107,,,633,1521,0.416,273,776,0.352,384,539,0.712,291,919,412,154,46,429,538
23,Bethune-Cookman,29,14,15,0.483,-8.85,-9.63,12,6,,,,,2186,2178,,,773,1775,0.435,182,506,0.36,458,686,0.668,372,1073,397,242,65,497,676
24,Boise State,27,12,15,0.444,0.54,0.51,6,10,,,,,1680,1679,,,597,1348,0.443,129,368,0.351,357,549,0.65,296,809,291,211,55,476,537
25,Boston College,30,11,19,0.367,4.21,5.07,3,13,,,,,2049,2075,,,725,1770,0.41,165,547,0.302,434,610,0.711,415,1069,348,279,103,492,566
26,Boston University,29,7,22,0.241,-14.27,-6.51,5,13,,,,,1758,1987,,,627,1524,0.411,172,497,0.346,332,483,0.687,297,952,358,185,65,449,558
27,Bowling Green State,30,22,8,0.733,3.34,0.79,14,4,,,,,2251,2115,,,777,1578,0.492,147,403,0.365,550,740,0.743,252,963,466,200,56,436,532
28,Bradley,30,14,16,0.467,5.25,3.88,10,8,,,,,1968,1927,,,721,1669,0.432,108,361,0.299,418,636,0.657,388,1066,400,259,87,452,602
29,Brigham Young,33,22,11,0.667,9.54,3.54,7,7,,,,,2328,2107,,,795,1725,0.461,192,515,0.373,546,784,0.696,300,1118,478,236,73,455,640
30,Brown,27,8,19,0.296,-15.14,-8.95,4,10,,,,,1837,2004,,,629,1537,0.409,156,485,0.322,423,615,0.688,321,937,383,195,57,425,582
31,Bucknell,28,17,11,0.607,-5.5,-6.76,8,4,,,,,1790,1719,,,634,1419,0.447,111,346,0.321,411,580,0.709,297,983,385,190,131,488,545
32,Buffalo,28,5,23,0.179,-14,1.46,3,15,,,,,1878,2311,,,636,1614,0.394,170,544,0.313,436,661,0.66,332,1000,356,197,117,523,524
33,Butler,31,23,8,0.742,12.23,0.01,12,2,,,,,2107,1728,,,753,1599,0.471,153,406,0.377,448,680,0.659,322,1054,430,237,88,391,513
34,Cal Poly,28,10,18,0.357,-5.59,-0.11,5,11,,,,,2189,2280,,,739,1655,0.447,227,615,0.369,484,671,0.721,315,966,383,150,74,405,503
35,Cal State Fullerton,27,8,19,0.296,-9.37,-1.21,3,13,,,,,1940,2104,,,700,1554,0.45,163,472,0.345,377,535,0.705,282,884,349,165,71,399,495
36,Cal State Northridge,30,20,10,0.667,4.07,0.41,10,6,,,,,2329,2208,,,858,1812,0.474,202,563,0.359,411,651,0.631,379,1110,550,277,94,468,678
37,UC-Irvine,28,14,14,0.5,-3.51,-0.77,7,9,,,,,1877,1893,,,655,1472,0.445,169,483,0.35,398,537,0.741,271,907,345,176,70,416,547
38,UC-Santa Barbara,28,14,14,0.5,1.04,0.16,10,6,,,,,1869,1823,,,659,1590,0.414,171,510,0.335,380,551,0.69,351,1104,426,211,75,454,521
39,University of California,33,18,15,0.545,9.65,8.62,7,11,,,,,2375,2341,,,850,1926,0.441,180,528,0.341,495,726,0.682,416,1175,469,235,89,491,596
40,Campbell,28,12,16,0.429,-13.19,-6.08,10,8,,,,,1760,1959,,,629,1450,0.434,212,590,0.359,290,416,0.697,266,876,404,168,80,421,459
41,Canisius,30,10,20,0.333,-8.87,-3.81,8,10,,,,,2189,2341,,,783,1817,0.431,173,507,0.341,450,648,0.694,415,1135,477,211,103,505,618
42,Centenary (LA),28,10,18,0.357,-9.88,-1.61,,,,,,,1780,1924,,,618,1511,0.409,153,437,0.35,391,580,0.674,,1000,280,152,51,442,587
43,Central Connecticut State,31,25,6,0.806,0.42,-9.55,15,3,,,,,2282,1973,,,832,1845,0.451,148,416,0.356,470,665,0.707,443,1262,451,276,156,479,554
44,Central Florida,32,14,18,0.438,-6.47,-4.85,10,8,,,,,2293,2320,,,837,1854,0.451,233,586,0.398,386,608,0.635,390,1132,473,233,119,486,590
45,Central Michigan,29,6,23,0.207,-4.64,2.79,2,16,,,,,1985,2175,,,718,1635,0.439,190,526,0.361,359,526,0.683,279,913,419,178,46,408,595
46,Charleston Southern,29,8,21,0.276,-18.68,-7.1,3,11,,,,,1883,2153,,,660,1568,0.421,79,320,0.247,484,768,0.63,400,1040,303,260,114,649,662
47,Charlotte,33,17,16,0.515,10.99,8.6,7,9,,,,,2246,2167,,,797,1986,0.401,266,810,0.328,386,547,0.706,456,1344,430,221,78,,
48,Chattanooga,29,10,19,0.345,-8.02,-4.64,6,10,,,,,2018,2102,,,717,1609,0.446,203,540,0.376,381,610,0.625,374,1023,406,190,89,459,487
49,Chicago State,28,10,18,0.357,-10.64,-3.05,7,9,,,,,1832,2029,,,678,1633,0.415,139,442,0.314,337,527,0.639,387,1011,392,187,99,436,482
50,Cincinnati,33,29,4,0.879,24.62,8.5,16,0,,,,,2560,2028,,,898,1871,0.48,165,459,0.359,599,854,0.701,405,1277,513,236,223,448,566
51,Citadel,29,9,20,0.31,-15.55,-5.67,5,10,,,,,1891,2109,,,631,1565,0.403,191,546,0.35,438,655,0.669,355,1019,316,213,83,505,633
52,Clemson,30,10,20,0.333,1.83,7.39,4,12,,,,,1933,2100,,,680,1682,0.404,189,570,0.332,384,572,0.671,396,1173,389,146,93,462,614
53,Cleveland State,30,16,14,0.533,3.19,-0.16,9,5,,,,,2265,2164,,,793,1828,0.434,172,495,0.347,508,731,0.695,454,1122,358,265,83,488,689
54,Coastal Carolina,28,10,18,0.357,-11.71,-6.64,7,7,,,,,1924,2109,,,648,1528,0.424,224,551,0.407,404,580,0.697,328,871,308,214,45,492,574
55,Colgate,29,13,16,0.448,-11.22,-7.85,4,8,,,,,1848,1900,,,673,1611,0.418,112,378,0.296,390,591,0.66,372,1062,353,225,85,478,550
