Rk,School,G,W 2000,L 2000,W-L% 2000,SRS,SOS,W 2000 Conf,L 2000 Conf,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,29,8,21,0.276,-3.57,1.99,3,11,6,9,1,11,1667,1828,,,544,1251,0.435,245,683,0.359,334,479,0.697,182,666,367,211,54,385,572
2,Akron,28,12,16,0.429,-3.09,1.67,9,9,8,5,4,9,1901,2034,,,613,1355,0.452,189,436,0.433,486,670,0.725,252,823,379,161,89,445,516
3,Alabama A&M,28,17,11,0.607,-13.46,-11.79,13,5,11,2,5,9,2056,2091,,,743,1902,0.391,156,536,0.291,414,661,0.626,497,1138,388,339,78,473,610
4,Alabama-Birmingham,31,17,14,0.548,6.63,4.08,8,8,10,5,6,7,2236,2157,,,799,1882,0.425,178,552,0.322,460,709,0.649,454,1274,392,208,125,465,646
5,Alabama State,31,22,9,0.71,-8.86,-13.61,15,3,11,2,8,5,2135,1980,,,756,1713,0.441,165,506,0.326,458,696,0.658,386,1175,410,260,93,510,502
6,Alabama,36,25,11,0.694,14.02,6.27,8,8,18,1,2,7,2761,2482,,,953,2199,0.433,232,711,0.326,623,893,0.698,580,1519,438,257,166,547,690
7,Albany (NY),28,6,22,0.214,-18.87,-8.67,,,4,9,1,12,1928,2169,,,712,1656,0.43,166,442,0.376,338,501,0.675,281,920,316,225,64,428,570
8,Alcorn State,30,15,15,0.5,-11.98,-10.78,13,5,8,2,6,10,2245,2280,,,784,1790,0.438,159,476,0.334,518,746,0.694,433,1158,366,228,95,577,588
9,American,27,7,20,0.259,-10.33,-2.81,3,13,6,7,1,13,1579,1782,,,596,1470,0.405,110,382,0.288,277,484,0.572,348,1000,293,137,114,431,473
10,Appalachian State,31,11,20,0.355,-12.13,-4.24,7,9,6,8,5,9,2005,2186,,,743,1715,0.433,133,438,0.304,386,572,0.675,410,1172,444,193,79,547,598
11,Arizona State,29,13,16,0.448,11.09,8.99,5,13,10,7,2,8,2121,2060,,,779,1757,0.443,105,356,0.295,458,681,0.673,430,1144,458,183,119,456,678
12,Arizona,36,28,8,0.778,26.84,12.56,15,3,13,2,7,5,2926,2386,,,1015,2131,0.476,193,544,0.355,703,940,0.748,487,1433,585,283,159,546,630
13,Little Rock,29,18,11,0.621,-0.79,-3.63,9,7,10,3,7,8,2056,1849,,,704,1484,0.474,200,492,0.407,448,635,0.706,263,957,376,218,91,466,578
14,Arkansas-Pine Bluff,27,2,25,0.074,-31.2,-8.23,2,16,2,8,0,17,1660,2282,,,612,1662,0.368,116,412,0.282,320,543,0.589,359,1005,269,210,90,526,537
15,Arkansas State,30,17,13,0.567,-4.23,-2.76,10,6,9,4,6,8,2189,2168,,,799,1759,0.454,180,535,0.336,411,593,0.693,358,1114,415,155,141,442,614
16,Arkansas,31,20,11,0.645,16.61,6.16,10,6,16,2,3,7,2476,2152,,,881,1990,0.443,273,741,0.368,441,639,0.69,410,1100,476,365,124,451,654
17,Army,28,9,19,0.321,-15.73,-7.65,3,9,7,7,2,11,2015,2201,,,644,1502,0.429,160,419,0.382,567,756,0.75,272,919,309,169,58,498,662
18,Auburn,32,18,14,0.563,11.48,7.14,7,9,14,5,2,7,2477,2338,,,917,2043,0.449,198,642,0.308,445,684,0.651,466,1243,495,265,155,450,629
19,Austin Peay,32,22,10,0.688,-0.53,-3.26,10,6,11,1,6,8,2510,2404,,,935,1845,0.507,189,510,0.371,451,641,0.704,403,1111,472,189,148,462,504
20,Ball State,30,18,12,0.6,3.12,0.3,11,7,9,6,7,5,2092,1993,,,784,1736,0.452,193,477,0.405,331,508,0.652,412,1152,381,153,98,402,527
21,Baylor,31,19,12,0.613,7.42,2.6,6,10,14,3,3,8,2209,2001,,,784,1748,0.449,188,630,0.298,453,673,0.673,331,1118,473,274,75,445,541
22,Belmont,28,13,15,0.464,-9.75,-5.45,,,9,2,3,12,2133,2202,,,719,1667,0.431,288,815,0.353,407,546,0.745,350,995,490,151,45,422,552
23,Bethune-Cookman,29,10,19,0.345,-17.81,-10.37,5,13,8,6,1,12,1822,1976,,,618,1541,0.401,115,375,0.307,471,738,0.638,367,1028,242,207,59,499,644
