Rk,School,G,W 2005,L 2005,W-L% 2005,SRS,SOS,W 2005 Conf,L 2005 Conf,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,31,24,7,0.774,10.2,2.49,12,4,16,0,6,5,1990,1695,,1240,683,1413,0.483,276,684,0.404,348,467,0.745,204,763,445,249,67,335,472
2,Akron,33,23,10,0.697,5,0.13,14,4,13,0,7,8,2407,2180,,,826,1825,0.453,264,721,0.366,491,682,0.72,373,1116,535,202,102,412,631
3,Alabama A&M,26,13,13,0.5,-9.12,-10.43,11,7,9,3,4,9,1917,1872,,,669,1606,0.417,159,508,0.313,420,654,0.642,355,1018,324,231,157,424,499
4,Alabama-Birmingham,31,24,7,0.774,9.64,1.57,12,2,14,1,7,5,2306,2035,,1240,822,1816,0.453,222,647,0.343,440,680,0.647,337,971,482,337,111,395,560
5,Alabama State,30,12,18,0.4,-12.98,-8.58,10,8,7,4,4,12,1985,2117,,,689,1686,0.409,174,559,0.311,433,690,0.628,395,1069,308,179,83,476,639
6,Alabama,31,18,13,0.581,10.79,8.08,10,6,14,4,3,7,2178,2094,,1250,758,1662,0.456,174,505,0.345,488,689,0.708,389,1135,379,195,152,421,433
7,Albany (NY),32,21,11,0.656,-0.44,-4.25,13,3,10,3,8,7,2194,2065,,1295,743,1660,0.448,223,589,0.379,485,682,0.711,349,1077,403,209,81,451,606
8,Alcorn State,28,8,20,0.286,-15.11,-8.03,8,10,5,4,3,15,1848,2046,,,652,1544,0.422,170,526,0.323,374,570,0.656,317,991,337,195,85,512,614
9,American,29,12,17,0.414,-8.49,-4.32,7,7,7,4,4,12,1850,1971,,1170,655,1573,0.416,165,486,0.34,375,543,0.691,366,1007,379,190,89,452,549
10,Appalachian State,30,14,16,0.467,-7.61,-4.79,6,8,8,4,4,10,2100,2113,,1215,731,1703,0.429,249,703,0.354,389,550,0.707,371,1032,427,224,112,455,567
