Rk,School,G,W 1996,L 1996,W-L% 1996,SRS,SOS,W 1996 Conf,L 1996 Conf,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,26,7,19,0.269,-4.94,1.15,2,14,,,,,1766,1875,,,637,1519,0.419,134,436,0.307,358,575,0.623,384,1005,350,155,40,406,534
2,Akron,26,8,18,0.308,-1.18,0.98,6,12,,,,,1833,1870,,1060,677,1585,0.427,121,402,0.301,358,514,0.696,287,869,407,220,78,355,478
3,Alabama-Birmingham,32,18,14,0.563,3.06,2.06,7,7,,,,,2142,2110,,,750,1844,0.407,189,544,0.347,453,699,0.648,441,1206,342,232,103,468,660
4,Alabama State,29,8,21,0.276,-21.8,-8.33,5,9,,,,,1839,2220,,,649,1637,0.396,140,444,0.315,401,647,0.62,383,1050,276,225,20,536,492
5,Alabama,31,17,14,0.548,9.67,6.04,6,10,,,,,2166,2006,,,749,1838,0.408,247,671,0.368,421,576,0.731,445,1225,363,199,101,57,536
6,Alcorn State,28,11,17,0.393,-15.54,-10.17,8,6,,,,,2021,2140,,,712,1630,0.437,117,362,0.323,480,751,0.639,385,1134,419,192,107,528,589
7,American,27,11,16,0.407,-5.18,-0.41,7,9,,,,,1831,1920,,,639,1557,0.41,156,477,0.327,397,589,0.674,359,952,268,201,65,417,481
8,Appalachian State,28,14,14,0.5,-5.91,-4.91,8,6,,,,,1990,1954,,,718,1485,0.484,178,453,0.393,376,563,0.668,297,901,397,185,105,432,475
9,Arizona State,30,10,20,0.333,2.08,7.04,2,16,,,,,2181,2233,,,830,1953,0.425,188,562,0.335,333,501,0.665,391,1041,533,299,172,431,549
10,Arizona,34,25,9,0.735,21.6,10.98,11,7,,,,,2852,2491,,,1016,2241,0.453,222,600,0.37,598,913,0.655,562,1377,567,358,100,521,654
