Coach,School,Conference,W_2013,L_2013,W-L%_2013,AP_Pre_2013,AP_Post_2013,NCAA_Tournament_2013,Since_2013,W_Career_2013,L_Career_2013,W-L%_Career_2013,NCAA_Career_2013,S16_Career_2013,FF_Career_2013,Chmp_Career_2013,W_Overall_2013,L_Overall_2013,W-L%_Overall_2013,NCAA_Overall_2013,S16_Overall_2013,FF_Overall_2013,Chmp_Overall_2013
Joe Golding,Abilene Christian,Southland,11,20,0.355,,,,2013-14,11,20,0.355,,,,,11,20,0.355,,,,
Dave Pilipovich,Air Force,MWC,12,18,0.4,,,,2011-12,32,38,0.457,,,,,32,38,0.457,,,,
Keith Dambrot,Akron,MAC,21,13,0.618,,,,2004-05,231,107,0.683,3,,,,251,141,0.64,3,,,
Anthony Grant,Alabama,SEC,13,19,0.406,,,,2009-10,99,71,0.582,1,,,,175,96,0.646,3,,,
Willie Hayes,Alabama A&M,SWAC,14,16,0.467,,,,2011-12,32,57,0.36,,,,,32,57,0.36,,,,
Jerod Haase,Alabama-Birmingham,CUSA,18,13,0.581,,,,2012-13,34,30,0.531,,,,,34,30,0.531,,,,
Lewis Jackson,Alabama State,SWAC,19,13,0.594,,,,2005-06,138,146,0.486,2,,,,138,146,0.486,2,,,
Will Brown,Albany (NY),AEC,19,15,0.559,,,Lost Second Round,2001-02,191,206,0.481,4,,,,191,206,0.481,4,,,
Luther Riley,Alcorn State,SWAC,12,19,0.387,,,,2011-12,32,65,0.33,,,,,32,65,0.33,,,,
Mike Brennan,American,Patriot,20,13,0.606,,,Lost Second Round,2013-14,20,13,0.606,1,,,,20,13,0.606,1,,,
Jason Capel,Appalachian State,Southern,9,21,0.3,,,,2010-11,53,70,0.431,,,,,53,70,0.431,,,,
Sean Miller,Arizona,Pac-12,33,5,0.868,6,4,Lost Regional Final,2009-10,129,48,0.729,3,3,,,249,95,0.724,7,5,,
Herb Sendek,Arizona State,Pac-12,21,12,0.636,,,Lost Second Round,2006-07,141,121,0.538,2,,,,395,279,0.586,8,1,,
Mike Anderson,Arkansas,SEC,22,12,0.647,,,,2011-12,59,39,0.602,,,,,259,137,0.654,6,2,,
Steve Shields,Little Rock,Sun Belt,15,17,0.469,,,,2003-04,179,160,0.528,1,,,,179,160,0.528,1,,,
George Ivory,Arkansas-Pine Bluff,SWAC,13,18,0.419,,,,2008-09,78,112,0.411,1,,,,78,112,0.411,1,,,
John Brady,Arkansas State,Sun Belt,19,13,0.594,,,,2008-09,99,91,0.521,,,,,380,307,0.553,4,2,1,
Zach Spiker,Army,Patriot,15,16,0.484,,,,2009-10,68,83,0.45,,,,,68,83,0.45,,,,
Tony Barbee,Auburn,SEC,14,16,0.467,,,,2010-11,49,75,0.395,,,,,131,127,0.508,1,,,
Dave Loos,Austin Peay,OVC,12,18,0.4,,,,1990-91,383,351,0.522,3,,,,383,351,0.522,3,,,
James Whitford,Ball State,MAC,5,25,0.167,,,,2013-14,5,25,0.167,,,,,5,25,0.167,,,,
Scott Drew,Baylor,Big 12,26,12,0.684,25,23,Lost Regional Semifinal,2003-04,206,150,0.579,4,3,,,226,161,0.584,4,3,,
Rick Byrd,Belmont,OVC,26,10,0.722,,,,1999-00,299,175,0.631,6,,,,299,175,0.631,6,,,
Gravelle Craig,Bethune-Cookman,MEAC,7,25,0.219,,,,2011-12,39,62,0.386,,,,,39,62,0.386,,,,
Tommy Dempsey,Binghamton,AEC,7,23,0.233,,,,2012-13,10,50,0.167,,,,,129,155,0.454,,,,
Leon Rice,Boise State,MWC,21,13,0.618,,,,2010-11,77,54,0.588,1,,,,77,54,0.588,1,,,
Steve Donahue,Boston College,ACC,8,24,0.25,,,,2010-11,54,76,0.415,,,,,200,214,0.483,3,1,,
Joe Jones,Boston University,Patriot,24,11,0.686,,,,2011-12,57,40,0.588,,,,,143,148,0.491,,,,
Louis Orr,Bowling Green State,MAC,12,20,0.375,,,,2007-08,101,121,0.455,,,,,201,201,0.5,2,,,
Geno Ford,Bradley,MVC,12,20,0.375,,,,2011-12,37,62,0.374,,,,,105,99,0.515,,,,
Dave Rose,BYU,WCC,23,12,0.657,,,Lost Second Round,2005-06,232,78,0.748,7,1,,,232,78,0.748,7,1,,
Mike Martin,Brown,Ivy,15,14,0.517,,,,2012-13,28,29,0.491,,,,,28,29,0.491,,,,
Tim O'Shea,Bryant,NEC,18,14,0.562,,,,2008-09,57,125,0.313,,,,,177,220,0.446,1,,,
Dave Paulsen,Bucknell,Patriot,16,14,0.533,,,,2008-09,115,79,0.593,2,,,,115,79,0.593,2,,,
Bobby Hurley,Buffalo,MAC,19,10,0.655,,,,2013-14,19,10,0.655,,,,,19,10,0.655,,,,
Brandon Miller,Butler,Big East,14,17,0.452,,,,2013-14,14,17,0.452,,,,,14,17,0.452,,,,
Joe Callero,Cal Poly,Big West,14,20,0.412,,,Lost Second Round,2009-10,77,83,0.481,1,,,,77,83,0.481,1,,,
Rod Barnes,Cal State Bakersfield,WAC,13,19,0.406,,,,2011-12,43,50,0.462,,,,,229,239,0.489,3,1,,
Dedrique Taylor,Cal State Fullerton,Big West,11,20,0.355,,,,2013-14,11,20,0.355,,,,,11,20,0.355,,,,
Reggie Theus,Cal State Northridge,Big West,17,18,0.486,,,,2013-14,17,18,0.486,,,,,58,41,0.586,1,,,
Mike Montgomery,California,Pac-12,21,14,0.6,,,,2008-09,130,73,0.64,4,,,,676,318,0.68,16,3,1,
Jim Les,UC-Davis,Big West,9,22,0.29,,,,2011-12,28,65,0.301,,,,,182,205,0.47,1,1,,
Russ Turner,UC-Irvine,Big West,23,12,0.657,,,,2010-11,69,67,0.507,,,,,69,67,0.507,,,,
Dennis Cutts,UC-Riverside,Big West,10,21,0.323,,,,2013-14,10,21,0.323,,,,,10,21,0.323,,,,
Bob Williams,UCSB,Big West,21,9,0.7,,,,1998-99,269,210,0.562,3,,,,269,210,0.562,3,,,
Kevin McGeehan,Campbell,Big South,12,20,0.375,,,,2013-14,12,20,0.375,,,,,12,20,0.375,,,,
Jim Baron,Canisius,MAAC,21,13,0.618,,,,2012-13,41,27,0.603,,,,,430,396,0.521,2,,,
Clarence Finley,Central Arkansas,Southland,8,21,0.276,,,,2013-14,8,21,0.276,,,,,8,21,0.276,,,,
Howie Dickenman,Central Connecticut,NEC,11,19,0.367,,,,1996-97,273,260,0.512,3,,,,273,260,0.512,3,,,
Donnie Jones*,UCF,AAC,13,18,0.419,,,,2010-11,76,52,0.594,,,,,131,93,0.585,,,,
Keno Davis,Central Michigan,MAC,10,21,0.323,,,,2012-13,21,41,0.339,,,,,95,96,0.497,1,,,
Barclay Radebaugh,Charleston Southern,Big South,13,18,0.419,,,,2005-06,120,154,0.438,,,,,120,154,0.438,,,,
Alan Major,Charlotte,CUSA,17,14,0.548,,,,2010-11,61,63,0.492,,,,,61,63,0.492,,,,
Will Wade,Chattanooga,Southern,18,15,0.545,,,,2013-14,18,15,0.545,,,,,18,15,0.545,,,,
Tracy Dildy,Chicago State,WAC,13,19,0.406,,,,2010-11,34,93,0.268,,,,,34,93,0.268,,,,
Mick Cronin,Cincinnati,AAC,27,7,0.794,,15,Lost Second Round,2006-07,162,107,0.602,4,1,,,231,131,0.638,6,1,,
Chuck Driesell,Citadel,Southern,7,26,0.212,,,,2010-11,31,94,0.248,,,,,31,94,0.248,,,,
Brad Brownell,Clemson,ACC,23,13,0.639,,,,2010-11,74,58,0.561,1,,,,241,143,0.628,4,,,
Gary Waters,Cleveland State,Horizon,21,12,0.636,,,,2006-07,157,112,0.584,1,,,,328,247,0.57,3,,,
Cliff Ellis,Coastal Carolina,Big South,21,13,0.618,,,Lost Second Round,2007-08,134,88,0.604,1,,,,670,426,0.611,9,3,,
Matt Langel,Colgate,Patriot,13,18,0.419,,,,2011-12,32,61,0.344,,,,,32,61,0.344,,,,
Doug Wojcik,College of Charleston,CAA,14,18,0.438,,,,2012-13,38,29,0.567,,,,,178,121,0.595,,,,
Tad Boyle,Colorado,Pac-12,23,12,0.657,,,Lost Second Round,2010-11,92,50,0.648,3,,,,148,116,0.561,3,,,
Larry Eustachy,Colorado State,MWC,16,16,0.5,,,,2012-13,42,25,0.627,1,,,,444,283,0.611,5,1,,
Kyle Smith,Columbia,Ivy,21,13,0.618,,,,2010-11,63,57,0.525,,,,,63,57,0.525,,,,
Kevin Ollie,UConn,AAC,32,8,0.8,18,18,Won National Final,2012-13,52,18,0.743,1,1,1,1,52,18,0.743,1,1,1,1
Fang Mitchell,Coppin State,MEAC,12,20,0.375,,,,1986-87,429,417,0.507,4,,,,429,417,0.507,4,,,
Bill Courtney,Cornell,Ivy,2,26,0.071,,,,2010-11,37,78,0.322,,,,,37,78,0.322,,,,
Greg McDermott,Creighton,Big East,27,8,0.771,,16,Lost Third Round,2010-11,107,38,0.738,3,,,,256,169,0.602,6,,,
Paul Cormier,Dartmouth,Ivy,12,16,0.429,,,,1984-85,118,178,0.399,,,,,204,289,0.414,1,,,
Bob McKillop,Davidson,Southern,20,13,0.606,,,,1989-90,472,292,0.618,7,1,,,472,292,0.618,7,1,,
Archie Miller,Dayton,A-10,26,11,0.703,,,Lost Regional Final,2011-12,63,38,0.624,1,1,,,63,38,0.624,1,1,,
Monte Ross,Delaware,CAA,25,10,0.714,,,Lost Second Round,2006-07,115,141,0.449,1,,,,115,141,0.449,1,,,
Greg Jackson,Delaware State,MEAC,4,15,0.211,,,,2000-01,200,216,0.481,1,,,,200,216,0.481,1,,,
Keith Walker,Delaware State,MEAC,5,6,0.455,,,,2013-14,5,6,0.455,,,,,5,6,0.455,,,,
Joe Scott,Denver,Summit,16,15,0.516,,,,2007-08,118,99,0.544,,,,,207,207,0.5,1,,,
Oliver Purnell,DePaul,Big East,12,21,0.364,,,,2010-11,42,85,0.331,,,,,436,364,0.545,6,,,
Ray McCallum,Detroit,Horizon,13,19,0.406,,,,2008-09,99,99,0.5,1,,,,269,248,0.52,3,,,
Ray Giacoletti,Drake,MVC,15,16,0.484,,,,2013-14,15,16,0.484,,,,,138,106,0.566,2,1,,
Bruiser Flint,Drexel,CAA,16,14,0.533,,,,2001-02,228,173,0.569,,,,,314,245,0.562,2,,,
Mike Krzyzewski,Duke,ACC,26,9,0.743,4,8,Lost Second Round,1980-81,910,247,0.787,30,21,11,4,983,306,0.763,30,21,11,4
Jim Ferry,Duquesne,A-10,13,17,0.433,,,,2012-13,21,39,0.35,,,,,171,188,0.476,2,,,
Jeff Lebo,East Carolina,CUSA,17,17,0.5,,,,2010-11,73,61,0.545,,,,,284,217,0.567,,,,
Murry Bartow,ETSU,A-Sun,19,16,0.543,,,,2003-04,208,151,0.579,3,,,,311,234,0.571,4,,,
Jay Spoonhour,Eastern Illinois,OVC,11,19,0.367,,,,2012-13,22,40,0.355,,,,,28,44,0.389,,,,
Jeff Neubauer,Eastern Kentucky,OVC,24,10,0.706,,,Lost Second Round,2005-06,167,122,0.578,2,,,,167,122,0.578,2,,,
Rob Murphy,Eastern Michigan,MAC,22,15,0.595,,,,2011-12,52,51,0.505,,,,,52,51,0.505,,,,
Jim Hayford,Eastern Washington,Big Sky,15,16,0.484,,,,2011-12,40,54,0.426,,,,,40,54,0.426,,,,
Matt Matheny,Elon,Southern,18,14,0.562,,,,2009-10,77,82,0.484,,,,,77,82,0.484,,,,
Marty Simmons,Evansville,MVC,14,19,0.424,,,,2007-08,102,122,0.455,,,,,102,122,0.455,,,,
Sydney Johnson,Fairfield,MAAC,7,25,0.219,,,,2011-12,48,56,0.462,,,,,114,109,0.511,1,,,
Greg Herenda,Fairleigh Dickinson,NEC,10,21,0.323,,,,2013-14,10,21,0.323,,,,,10,21,0.323,,,,
Billy Donovan,Florida,SEC,36,3,0.923,10,1,Lost National Semifinal,1996-97,451,169,0.727,14,8,4,2,486,189,0.72,14,8,4,2
Clemon Johnson,Florida A&M,MEAC,14,18,0.438,,,,2011-12,32,64,0.333,,,,,32,64,0.333,,,,
Mike Jarvis,Florida Atlantic,CUSA,10,22,0.312,,,,2008-09,76,112,0.404,,,,,439,314,0.583,9,2,,
Joe Dooley,Florida Gulf Coast,A-Sun,22,13,0.629,,,,2013-14,22,13,0.629,,,,,79,65,0.549,,,,
Anthony Evans,Florida International,CUSA,15,16,0.484,,,,2013-14,15,16,0.484,,,,,114,110,0.509,1,,,
Leonard Hamilton*,Florida State,ACC,22,14,0.611,,,,2002-03,241,157,0.606,4,1,,,441,367,0.546,7,2,,
Tom Pecora,Fordham,A-10,10,21,0.323,,,,2010-11,34,85,0.286,,,,,189,211,0.472,,,,
Rodney Terry,Fresno State,MWC,21,18,0.538,,,,2011-12,45,57,0.441,,,,,45,57,0.441,,,,
Niko Medved,Furman,Southern,9,21,0.3,,,,2013-14,9,21,0.3,,,,,9,21,0.3,,,,
Tim Craft,Gardner-Webb,Big South,18,15,0.545,,,,2013-14,18,15,0.545,,,,,18,15,0.545,,,,
Paul Hewitt,George Mason,A-10,11,20,0.355,,,,2011-12,57,45,0.559,,,,,313,234,0.572,6,1,1,
Mike Lonergan,George Washington,A-10,24,9,0.727,,,Lost Second Round,2011-12,47,47,0.5,1,,,,173,115,0.601,2,,,
John Thompson,Georgetown,Big East,18,15,0.545,,,,2004-05,227,104,0.686,7,2,1,,295,146,0.669,9,2,1,
Mark Fox,Georgia,SEC,20,14,0.588,,,,2009-10,85,77,0.525,1,,,,208,120,0.634,4,,,
Mark Byington,Georgia Southern,Southern,15,19,0.441,,,,2013-14,15,19,0.441,,,,,15,19,0.441,,,,
Ron Hunter,Georgia State,Sun Belt,25,9,0.735,,,,2011-12,62,37,0.626,,,,,283,216,0.567,1,,,
Brian Gregory,Georgia Tech,ACC,16,17,0.485,,,,2011-12,43,52,0.453,,,,,215,146,0.596,2,,,
Mark Few,Gonzaga,WCC,29,7,0.806,15,,Lost Third Round,1999-00,403,100,0.801,15,4,,,403,100,0.801,15,4,,
Joseph Price,Grambling,SWAC,5,24,0.172,,,,2012-13,5,52,0.088,,,,,5,52,0.088,,,,
Dan Majerle,Grand Canyon,WAC,15,15,0.5,,,,2013-14,15,15,0.5,,,,,15,15,0.5,,,,
Brian Wardle,Green Bay,Horizon,24,7,0.774,,,,2010-11,71,56,0.559,,,,,71,56,0.559,,,,
Edward Joyner,Hampton,MEAC,18,13,0.581,,,,2009-10,82,78,0.512,1,,,,82,78,0.512,1,,,
John Gallagher,Hartford,AEC,17,16,0.515,,,,2010-11,54,72,0.429,,,,,54,72,0.429,,,,
Tommy Amaker,Harvard,Ivy,27,5,0.844,,,Lost Third Round,2007-08,139,71,0.662,3,,,,315,210,0.6,4,1,,
Gib Arnold*,Hawaii,Big West,20,11,0.645,,,,2010-11,72,55,0.567,,,,,72,55,0.567,,,,
Scott Cherry,High Point,Big South,16,15,0.516,,,,2009-10,73,81,0.474,,,,,73,81,0.474,,,,
Joe Mihalich,Hofstra,CAA,10,23,0.303,,,,2013-14,10,23,0.303,,,,,275,226,0.549,2,,,
Milan Brown,Holy Cross,Patriot,20,14,0.588,,,,2010-11,55,67,0.451,,,,,150,187,0.445,1,,,
James Dickey,Houston,AAC,17,16,0.515,,,,2010-11,64,62,0.508,,,,,230,186,0.553,2,1,,
Ron Cottrell,Houston Baptist,Southland,6,25,0.194,,,,2008-09,52,134,0.28,,,,,52,134,0.28,,,,
Kevin Nickelberry,Howard,MEAC,8,25,0.242,,,,2010-11,31,94,0.248,,,,,80,138,0.367,,,,
Don Verlin,Idaho,WAC,16,18,0.471,,,,2008-09,97,96,0.503,,,,,97,96,0.503,,,,
Bill Evans,Idaho State,Big Sky,11,18,0.379,,,,2012-13,17,42,0.288,,,,,225,265,0.459,1,,,
John Groce,Illinois,Big Ten,20,15,0.571,,,,2012-13,43,28,0.606,1,,,,128,84,0.604,3,1,,
Howard Moore,UIC,Horizon,6,25,0.194,,,,2010-11,39,87,0.31,,,,,39,87,0.31,,,,
Dan Muller,Illinois State,MVC,18,16,0.529,,,,2012-13,36,31,0.537,,,,,36,31,0.537,,,,
Ken Burmeister,Incarnate Word,Southland,21,6,0.778,,,,2013-14,21,6,0.778,,,,,133,121,0.524,1,,,
Tom Crean,Indiana,Big Ten,17,15,0.531,,,,2008-09,101,97,0.51,2,2,,,291,193,0.601,7,3,1,
Greg Lansing,Indiana State,MVC,23,11,0.676,,,,2010-11,79,55,0.59,1,,,,79,55,0.59,1,,,
Tim Cluess,Iona,MAAC,22,11,0.667,,,,2010-11,92,45,0.672,2,,,,92,45,0.672,2,,,
Fran McCaffery,Iowa,Big Ten,20,13,0.606,,,,2010-11,74,63,0.54,1,,,,325,240,0.575,6,,,
Fred Hoiberg,Iowa State,Big 12,28,8,0.778,,9,Lost Regional Semifinal,2010-11,90,47,0.657,3,1,,,90,47,0.657,3,1,,
Tony Jasick,Fort Wayne,Summit,25,11,0.694,,,,2011-12,52,47,0.525,,,,,52,47,0.525,,,,
Todd Howard,IUPUI,Summit,6,26,0.188,,,,2011-12,26,70,0.271,,,,,26,70,0.271,,,,
Wayne Brent,Jackson State,SWAC,11,20,0.355,,,,2013-14,11,20,0.355,,,,,11,20,0.355,,,,
Cliff Warren,Jacksonville,A-Sun,12,18,0.4,,,,2005-06,126,150,0.457,,,,,126,150,0.457,,,,
James Green,Jacksonville State,OVC,10,21,0.323,,,,2008-09,69,111,0.383,,,,,236,273,0.464,1,,,
Matt Brady,James Madison,CAA,11,20,0.355,,,,2008-09,99,102,0.493,1,,,,172,152,0.531,1,,,
Bill Self,Kansas,Big 12,25,10,0.714,5,10,Lost Third Round,2003-04,325,69,0.825,11,7,2,1,532,174,0.754,16,10,2,1
Bruce Weber,Kansas State,Big 12,20,13,0.606,,,Lost Second Round,2012-13,47,21,0.691,2,,,,360,176,0.672,10,3,1,
Lewis Preston,Kennesaw State,A-Sun,6,25,0.194,,,,2011-12,12,80,0.13,,,,,12,80,0.13,,,,
Rob Senderoff,Kent State,MAC,16,16,0.5,,,,2011-12,58,42,0.58,,,,,58,42,0.58,,,,
John Calipari*,Kentucky,SEC,29,11,0.725,1,,Lost National Final,2009-10,152,37,0.804,4,4,3,1,597,177,0.771,15,11,5,1
John Giannini,La Salle,A-10,15,16,0.484,,,,2004-05,158,154,0.506,1,1,,,283,265,0.516,1,1,,
Fran O'Hanlon,Lafayette,Patriot,11,20,0.355,,,,1995-96,268,296,0.475,2,,,,268,296,0.475,2,,,
Pat Knight,Lamar,Southland,3,22,0.12,,,,2011-12,29,62,0.319,1,,,,79,123,0.391,1,,,
Tic Price,Lamar,Southland,1,4,0.2,,,,2013-14,1,4,0.2,,,,,168,126,0.571,2,,,
Brett Reed,Lehigh,Patriot,14,18,0.438,,,,2007-08,129,91,0.586,2,,,,129,91,0.586,2,,,
Dale Layer,Liberty,Big South,11,21,0.344,,,,2009-10,74,89,0.454,1,,,,177,195,0.476,2,,,
Casey Alexander,Lipscomb,A-Sun,15,15,0.5,,,,2013-14,15,15,0.5,,,,,39,51,0.433,,,,
Dan Monson,Long Beach State,Big West,15,17,0.469,,,,2007-08,119,108,0.524,1,,,,289,231,0.556,3,1,,
Jack Perri,LIU-Brooklyn,NEC,9,20,0.31,,,,2012-13,29,34,0.46,1,,,,29,34,0.46,1,,,
Jayson Gee,Longwood,Big South,8,24,0.25,,,,2013-14,8,24,0.25,,,,,8,24,0.25,,,,
Bob Marlin,Louisiana,Sun Belt,23,12,0.657,,,Lost Second Round,2010-11,66,63,0.512,1,,,,291,194,0.6,3,,,
Keith Richard,Louisiana-Monroe,Sun Belt,10,17,0.37,,,,2010-11,24,90,0.211,,,,,174,207,0.457,,,,
Johnny Jones,LSU,SEC,20,14,0.588,,,,2012-13,39,26,0.6,,,,,244,188,0.565,2,,,
Michael White,Louisiana Tech,CUSA,29,8,0.784,,,,2011-12,74,31,0.705,,,,,74,31,0.705,,,,
Rick Pitino*,Louisville,AAC,31,6,0.838,3,5,Lost Regional Semifinal,2001-02,341,117,0.745,11,6,3,1,695,245,0.739,19,12,7,2
Porter Moser,Loyola (IL),MVC,10,22,0.312,,,,2011-12,32,61,0.344,,,,,137,162,0.458,,,,
Max Good,Loyola Marymount,WCC,13,19,0.406,,,,2008-09,77,117,0.397,,,,,186,255,0.422,,,,
G.G. Smith,Loyola (MD),Patriot,11,19,0.367,,,,2013-14,11,19,0.367,,,,,11,19,0.367,,,,
Ted Woodward,Maine,AEC,6,23,0.207,,,,2004-05,117,178,0.397,,,,,117,178,0.397,,,,
Steve Masiello,Manhattan,MAAC,25,8,0.758,,,Lost Second Round,2011-12,60,39,0.606,1,,,,60,39,0.606,1,,,
Jeff Bower,Marist,MAAC,12,19,0.387,,,,2013-14,12,19,0.387,,,,,12,19,0.387,,,,
Buzz Williams,Marquette,Big East,17,15,0.531,17,,,2008-09,139,69,0.668,5,3,,,153,86,0.64,5,3,,
Tom Herrion,Marshall,CUSA,11,22,0.333,,,,2010-11,67,67,0.5,,,,,147,105,0.583,,,,
Mark Turgeon,Maryland,ACC,17,15,0.531,,,,2011-12,59,43,0.578,,,,,309,202,0.605,5,1,,
Aki Thomas,UMBC,AEC,9,21,0.3,,,,2012-13,17,44,0.279,,,,,17,44,0.279,,,,
Frankie Allen,Maryland-Eastern Shore,MEAC,6,24,0.2,,,,2008-09,42,139,0.232,,,,,265,433,0.38,2,,,
Derek Kellogg,UMass,A-10,24,9,0.727,,,Lost Second Round,2008-09,109,86,0.559,1,,,,109,86,0.559,1,,,
Pat Duquette,UMass-Lowell,AEC,10,18,0.357,,,,2013-14,10,18,0.357,,,,,10,18,0.357,,,,
Dave Simmons,McNeese State,Southland,11,20,0.355,,,,2006-07,112,136,0.452,,,,,112,136,0.452,,,,
Josh Pastner,Memphis,AAC,24,10,0.706,13,,Lost Third Round,2009-10,130,44,0.747,4,,,,130,44,0.747,4,,,
Bob Hoffman,Mercer,A-Sun,27,9,0.75,,,Lost Third Round,2008-09,126,82,0.606,1,,,,194,159,0.55,1,,,
Jim Larranaga,Miami (FL),ACC,17,16,0.515,,,,2011-12,66,36,0.647,1,1,,,508,345,0.596,6,2,1,
John Cooper,Miami (OH),MAC,13,18,0.419,,,,2012-13,22,40,0.355,,,,,65,92,0.414,,,,
John Beilein,Michigan,Big Ten,28,9,0.757,7,7,Lost Regional Final,2007-08,150,94,0.615,5,2,1,,443,269,0.622,9,4,1,
Tom Izzo,Michigan State,Big Ten,29,9,0.763,2,11,Lost Regional Final,1995-96,468,187,0.715,17,12,6,1,468,187,0.715,17,12,6,1
Kermit Davis,Middle Tennessee,CUSA,24,9,0.727,,,,2002-03,232,148,0.611,1,,,,303,198,0.605,3,,,
Rob Jeter,Milwaukee,Horizon,21,14,0.6,,,Lost Second Round,2005-06,150,141,0.515,2,,,,150,141,0.515,2,,,
Richard Pitino,Minnesota,Big Ten,25,13,0.658,,,,2013-14,25,13,0.658,,,,,43,27,0.614,,,,
Andy Kennedy,Ole Miss,SEC,19,14,0.576,,,,2006-07,171,101,0.629,1,,,,192,114,0.627,1,,,
Rick Ray,Mississippi State,SEC,14,19,0.424,,,,2012-13,24,41,0.369,,,,,24,41,0.369,,,,
Chico Potts,Mississippi Valley State,SWAC,9,23,0.281,,,,2012-13,14,46,0.233,,,,,14,46,0.233,,,,
Frank Haith,Missouri,SEC,23,12,0.657,,,,2011-12,76,28,0.731,2,,,,205,129,0.614,3,,,
Kareem Richardson,UMKC,WAC,10,20,0.333,,,,2013-14,10,20,0.333,,,,,10,20,0.333,,,,
Paul Lusk,Missouri State,MVC,20,13,0.606,,,,2011-12,47,51,0.48,,,,,47,51,0.48,,,,
King Rice,Monmouth,MAAC,11,21,0.344,,,,2011-12,33,62,0.347,,,,,33,62,0.347,,,,
Wayne Tinkle,Montana,Big Sky,17,13,0.567,,,,2006-07,158,91,0.635,3,,,,158,91,0.635,3,,,
Brad Huse,Montana State,Big Sky,14,17,0.452,,,,2006-07,107,134,0.444,,,,,107,134,0.444,,,,
Sean Woods,Morehead State,OVC,20,14,0.588,,,,2012-13,35,32,0.522,,,,,85,112,0.431,1,,,
Todd Bozeman*,Morgan State,MEAC,15,16,0.484,,,,2006-07,143,116,0.552,2,,,,206,151,0.577,5,1,,
Jamion Christian,Mount St. Mary's,NEC,16,17,0.485,,,,2012-13,34,31,0.523,1,,,,34,31,0.523,1,,,
Steve Prohm,Murray State,OVC,23,11,0.676,,,,2011-12,75,23,0.765,1,,,,75,23,0.765,1,,,
Ed DeChellis,Navy,Patriot,9,21,0.3,,,,2011-12,20,70,0.222,,,,,239,301,0.443,2,,,
Tim Miles,Nebraska,Big Ten,19,13,0.594,,,Lost Second Round,2012-13,34,31,0.523,1,,,,141,139,0.504,2,,,
Derrin Hansen,Omaha,Summit,17,15,0.531,,,,2012-13,28,35,0.444,,,,,28,35,0.444,,,,
David Carter,Nevada,MWC,15,17,0.469,,,,2009-10,89,75,0.543,,,,,89,75,0.543,,,,
