Coach,School,Conference,W_2013,L_2013,W-L%_2013,AP_Pre_2013,AP_Post_2013,NCAA_Tournament_2013,Since_2013,W_Career_2013,L_Career_2013,W-L%_Career_2013,NCAA_Career_2013,S16_Career_2013,FF_Career_2013,Chmp_Career_2013,W_Overall_2013,L_Overall_2013,W-L%_Overall_2013,NCAA_Overall_2013,S16_Overall_2013,FF_Overall_2013,Chmp_Overall_2013
Dave Rice,UNLV,MWC,20,13,0.606,,,,2011-12,71,32,0.689,2,,,,71,32,0.689,2,,,
Bill Herrion,New Hampshire,AEC,6,24,0.2,,,,2005-06,98,168,0.368,,,,,335,337,0.499,3,,,
Craig Neal,New Mexico,MWC,27,7,0.794,23,17,Lost Second Round,2013-14,27,7,0.794,1,,,,27,7,0.794,1,,,
Marvin Menzies,New Mexico State,WAC,26,10,0.722,,,Lost Second Round,2007-08,152,89,0.631,4,,,,152,89,0.631,4,,,
Mark Slessinger,New Orleans,Southland,11,15,0.423,,,,2012-13,19,33,0.365,,,,,19,33,0.365,,,,
Chris Casey,Niagara,MAAC,7,26,0.212,,,,2013-14,7,26,0.212,,,,,7,26,0.212,,,,
J.P. Piper,Nicholls State,Southland,14,15,0.483,,,,2004-05,111,182,0.379,,,,,111,182,0.379,,,,
Jim Engles,NJIT,Ind,13,16,0.448,,,,2008-09,70,112,0.385,,,,,70,112,0.385,,,,
Robert Jones,Norfolk State,MEAC,19,15,0.559,,,,2013-14,19,15,0.559,,,,,19,15,0.559,,,,
Roy Williams,UNC,ACC,24,10,0.706,12,19,Lost Third Round,2003-04,306,89,0.775,10,6,3,2,724,190,0.792,24,15,7,2
Nick McDevitt,UNC Asheville,Big South,17,15,0.531,,,,2013-14,17,15,0.531,,,,,17,15,0.531,,,,
Cy Alexander,North Carolina A&T,MEAC,9,23,0.281,,,,2012-13,29,40,0.42,1,,,,372,346,0.518,6,,,
LeVelle Moton,North Carolina Central,MEAC,28,6,0.824,,,Lost Second Round,2009-10,89,67,0.571,1,,,,89,67,0.571,1,,,
Wes Miller,UNC Greensboro,Southern,14,18,0.438,,,,2011-12,34,51,0.4,,,,,34,51,0.4,,,,
Mark Gottfried,NC State,ACC,22,14,0.611,,,Lost Second Round,2011-12,70,38,0.648,3,1,,,348,193,0.643,10,2,,
Buzz Peterson,UNC Wilmington,CAA,9,23,0.281,,,,2010-11,42,82,0.339,,,,,267,229,0.538,1,,,
Brian Jones,North Dakota,Big Sky,17,17,0.5,,,,2009-10,77,87,0.47,,,,,77,87,0.47,,,,
Saul Phillips,North Dakota State,Summit,26,7,0.788,,,Lost Third Round,2007-08,134,84,0.615,2,,,,134,84,0.615,2,,,
Matthew Driscoll,North Florida,A-Sun,16,16,0.5,,,,2009-10,73,88,0.453,,,,,73,88,0.453,,,,
Tony Benford,North Texas,CUSA,16,16,0.5,,,,2012-13,28,36,0.438,,,,,28,36,0.438,,,,
