,Coach,School_x,Conference_x,W_2013,L_2013,W-L%_2013,AP_Pre_2013,AP_Post_2013,NCAA_Tournament_2013,Since_2013,W_Career_2013,L_Career_2013,W-L%_Career_2013,NCAA_Career_2013,S16_Career_2013,FF_Career_2013,Chmp_Career_2013,W_Overall_2013,L_Overall_2013,W-L%_Overall_2013,NCAA_Overall_2013,S16_Overall_2013,FF_Overall_2013,Chmp_Overall_2013,School_y,Conference_y,W_2014,L_2014,W-L%_2014,AP_Pre_2014,AP_Post_2014,NCAA_Tournament_2014,Since_2014,W_Career_2014,L_Career_2014,W-L%_Career_2014,NCAA_Career_2014,S16_Career_2014,FF_Career_2014,Chmp_Career_2014,W_Overall_2014,L_Overall_2014,W-L%_Overall_2014,NCAA_Overall_2014,S16_Overall_2014,FF_Overall_2014,Chmp_Overall_2014,School_x,Conference_x,W_2015,L_2015,W-L%_2015,AP_Pre_2015,AP_Post_2015,NCAA_Tournament_2015,Since_2015,W_Career_2015,L_Career_2015,W-L%_Career_2015,NCAA_Career_2015,S16_Career_2015,FF_Career_2015,Chmp_Career_2015,W_Overall_2015,L_Overall_2015,W-L%_Overall_2015,NCAA_Overall_2015,S16_Overall_2015,FF_Overall_2015,Chmp_Overall_2015,School_y,Conference_y,W_2016,L_2016,W-L%_2016,AP_Pre_2016,AP_Post_2016,NCAA_Tournament_2016,Since_2016,W_Career_2016,L_Career_2016,W-L%_Career_2016,NCAA_Career_2016,S16_Career_2016,FF_Career_2016,Chmp_Career_2016,W_Overall_2016,L_Overall_2016,W-L%_Overall_2016,NCAA_Overall_2016,S16_Overall_2016,FF_Overall_2016,Chmp_Overall_2016,School,Conference,W_2017,L_2017,W-L%_2017,AP_Pre_2017,AP_Post_2017,NCAA_Tournament_2017,Since_2017,W_Career_2017,L_Career_2017,W-L%_Career_2017,NCAA_Career_2017,S16_Career_2017,FF_Career_2017,Chmp_Career_2017,W_Overall_2017,L_Overall_2017,W-L%_Overall_2017,NCAA_Overall_2017,S16_Overall_2017,FF_Overall_2017,Chmp_Overall_2017,FIRED?,WHEN
34,Bobby Hurley,Buffalo,MAC,19,10,0.655,,,,2013-14,19,10,0.655,,,,,19,10,0.655,,,,,Buffalo,MAC,23,10,0.697,,,Lost Second Round,2013-14,42,20,0.677,1,,,,42,20,0.677,1,,,,Arizona State,Pac-12,15,17,0.469,,,,2015-16,15,17,0.469,,,,,57,37,0.606,1,,,,Arizona State,Pac-12,15,18,0.455,,,,2015-16,30,35,0.462,,,,,72,55,0.567,1,,,,Arizona State,Pac-12,20,12,0.625,,,,2015-16,50,47,0.515,1,,,,92,67,0.579,2,,,,N,
35,Brandon Miller,Butler,Big East,14,17,0.452,,,,2013-14,14,17,0.452,,,,,14,17,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
36,Joe Callero,Cal Poly,Big West,14,20,0.412,,,Lost Second Round,2009-10,77,83,0.481,1,,,,77,83,0.481,1,,,,Cal Poly,Big West,13,16,0.448,,,,2009-10,90,99,0.476,1,,,,90,99,0.476,1,,,,Cal Poly,Big West,10,20,0.333,,,,2009-10,100,119,0.457,1,,,,100,119,0.457,1,,,,Cal Poly,Big West,11,20,0.355,,,,2009-10,111,139,0.444,1,,,,111,139,0.444,1,,,,Cal Poly,Big West,9,22,0.29,,,,2009-10,120,161,0.427,1,,,,120,161,0.427,1,,,,N,
37,Rod Barnes,Cal State Bakersfield,WAC,13,19,0.406,,,,2011-12,43,50,0.462,,,,,229,239,0.489,3,1,,,Cal State Bakersfield,WAC,14,19,0.424,,,,2011-12,57,69,0.452,,,,,243,258,0.485,3,1,,,Cal State Bakersfield,WAC,24,9,0.727,,,Lost First Round,2011-12,81,78,0.509,1,,,,267,267,0.5,4,1,,,Cal State Bakersfield,WAC,25,10,0.714,,,,2011-12,106,88,0.546,1,,,,292,277,0.513,4,1,,,Cal State Bakersfield,WAC,12,18,0.4,,,,2011-12,118,106,0.527,1,,,,304,295,0.508,4,1,,,N,
38,Dedrique Taylor,Cal State Fullerton,Big West,11,20,0.355,,,,2013-14,11,20,0.355,,,,,11,20,0.355,,,,,Cal State Fullerton,Big West,9,22,0.29,,,,2013-14,20,42,0.323,,,,,20,42,0.323,,,,,Cal State Fullerton,Big West,10,20,0.333,,,,2013-14,30,62,0.326,,,,,30,62,0.326,,,,,Cal State Fullerton,Big West,17,15,0.531,,,,2013-14,47,77,0.379,,,,,47,77,0.379,,,,,Cal State Fullerton,Big West,20,12,0.625,,,Lost First Round,2013-14,67,89,0.429,1,,,,67,89,0.429,1,,,,N,
39,Reggie Theus,Cal State Northridge,Big West,17,18,0.486,,,,2013-14,17,18,0.486,,,,,58,41,0.586,1,,,,Cal State Northridge,Big West,9,24,0.273,,,,2013-14,26,42,0.382,,,,,67,65,0.508,1,,,,Cal State Northridge,Big West,10,20,0.333,,,,2013-14,36,62,0.367,,,,,77,85,0.475,1,,,,Cal State Northridge,Big West,11,19,0.367,,,,2013-14,47,81,0.367,,,,,88,104,0.458,1,,,,Cal State Northridge,Big West,6,24,0.2,,,,2013-14,53,105,0.335,,,,,94,128,0.423,1,,,,N,
40,Mike Montgomery,California,Pac-12,21,14,0.6,,,,2008-09,130,73,0.64,4,,,,676,318,0.68,16,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
41,Jim Les,UC-Davis,Big West,9,22,0.29,,,,2011-12,28,65,0.301,,,,,182,205,0.47,1,1,,,UC-Davis,Big West,25,7,0.781,,,,2011-12,53,72,0.424,,,,,207,212,0.494,1,1,,,UC-Davis,Big West,11,19,0.367,,,,2011-12,64,91,0.413,,,,,218,231,0.486,1,1,,,UC-Davis,Big West,23,13,0.639,,,Lost First Round,2011-12,87,104,0.455,1,,,,241,244,0.497,2,1,,,UC-Davis,Big West,22,11,0.667,,,,2011-12,109,115,0.487,1,,,,263,255,0.508,2,1,,,N,
42,Russ Turner,UC-Irvine,Big West,23,12,0.657,,,,2010-11,69,67,0.507,,,,,69,67,0.507,,,,,UC-Irvine,Big West,21,13,0.618,,,Lost Second Round,2010-11,90,80,0.529,1,,,,90,80,0.529,1,,,,UC-Irvine,Big West,28,10,0.737,,,,2010-11,118,90,0.567,1,,,,118,90,0.567,1,,,,UC-Irvine,Big West,21,15,0.583,,,,2010-11,139,105,0.57,1,,,,139,105,0.57,1,,,,UC-Irvine,Big West,18,17,0.514,,,,2010-11,157,122,0.563,1,,,,157,122,0.563,1,,,,N,
43,Dennis Cutts,UC-Riverside,Big West,10,21,0.323,,,,2013-14,10,21,0.323,,,,,10,21,0.323,,,,,UC-Riverside,Big West,14,17,0.452,,,,2013-14,24,38,0.387,,,,,24,38,0.387,,,,,UC-Riverside,Big West,14,19,0.424,,,,2013-14,38,57,0.4,,,,,38,57,0.4,,,,,UC-Riverside,Big West,8,21,0.276,,,,2013-14,46,78,0.371,,,,,46,78,0.371,,,,,UC-Riverside,Big West,5,9,0.357,,,,2013-14,51,87,0.37,,,,,51,87,0.37,,,,,N,
44,Bob Williams,UCSB,Big West,21,9,0.7,,,,1998-99,269,210,0.562,3,,,,269,210,0.562,3,,,,UCSB,Big West,19,14,0.576,,,,1998-99,288,224,0.562,3,,,,288,224,0.562,3,,,,UCSB,Big West,19,14,0.576,,,,1998-99,307,238,0.563,3,,,,307,238,0.563,3,,,,UCSB,Big West,6,22,0.214,,,,1998-99,313,260,0.546,3,,,,313,260,0.546,3,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2017
45,Kevin McGeehan,Campbell,Big South,12,20,0.375,,,,2013-14,12,20,0.375,,,,,12,20,0.375,,,,,Campbell,Big South,10,22,0.312,,,,2013-14,22,42,0.344,,,,,22,42,0.344,,,,,Campbell,Big South,12,18,0.4,,,,2013-14,34,60,0.362,,,,,34,60,0.362,,,,,Campbell,Big South,19,18,0.514,,,,2013-14,53,78,0.405,,,,,53,78,0.405,,,,,Campbell,Big South,18,16,0.529,,,,2013-14,71,94,0.43,,,,,71,94,0.43,,,,,N,
46,Jim Baron,Canisius,MAAC,21,13,0.618,,,,2012-13,41,27,0.603,,,,,430,396,0.521,2,,,,Canisius,MAAC,18,15,0.545,,,,2012-13,59,42,0.584,,,,,448,411,0.522,2,,,,Canisius,MAAC,14,19,0.424,,,,2012-13,73,61,0.545,,,,,462,430,0.518,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
47,Clarence Finley,Central Arkansas,Southland,8,21,0.276,,,,2013-14,8,21,0.276,,,,,8,21,0.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
48,Howie Dickenman,Central Connecticut,NEC,11,19,0.367,,,,1996-97,273,260,0.512,3,,,,273,260,0.512,3,,,,Central Connecticut,NEC,5,26,0.161,,,,1996-97,278,286,0.493,3,,,,278,286,0.493,3,,,,Central Connecticut,NEC,4,25,0.138,,,,1996-97,282,311,0.476,3,,,,282,311,0.476,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
49,Donnie Jones*,UCF,AAC,13,18,0.419,,,,2010-11,76,52,0.594,,,,,131,93,0.585,,,,,UCF,AAC,12,18,0.4,,,,2010-11,88,70,0.557,,,,,143,111,0.563,,,,,UCF,AAC,12,18,0.4,,,,2010-11,100,88,0.532,,,,,155,129,0.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
50,Keno Davis,Central Michigan,MAC,10,21,0.323,,,,2012-13,21,41,0.339,,,,,95,96,0.497,1,,,,Central Michigan,MAC,23,9,0.719,,,,2012-13,44,50,0.468,,,,,118,105,0.529,1,,,,Central Michigan,MAC,17,16,0.515,,,,2012-13,61,66,0.48,,,,,135,121,0.527,1,,,,Central Michigan,MAC,16,16,0.5,,,,2012-13,77,82,0.484,,,,,151,137,0.524,1,,,,Central Michigan,MAC,21,15,0.583,,,,2012-13,98,97,0.503,,,,,172,152,0.531,1,,,,N,
51,Barclay Radebaugh,Charleston Southern,Big South,13,18,0.419,,,,2005-06,120,154,0.438,,,,,120,154,0.438,,,,,Charleston Southern,Big South,19,12,0.613,,,,2005-06,139,166,0.456,,,,,139,166,0.456,,,,,Charleston Southern,Big South,9,21,0.3,,,,2005-06,148,187,0.442,,,,,148,187,0.442,,,,,Charleston Southern,Big South,12,19,0.387,,,,2005-06,160,206,0.437,,,,,160,206,0.437,,,,,Charleston Southern,Big South,15,16,0.484,,,,2005-06,175,222,0.441,,,,,175,222,0.441,,,,,N,
52,Alan Major,Charlotte,CUSA,17,14,0.548,,,,2010-11,61,63,0.492,,,,,61,63,0.492,,,,,Charlotte,CUSA,6,7,0.462,,,,2010-11,67,70,0.489,,,,,67,70,0.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
53,Will Wade,Chattanooga,Southern,18,15,0.545,,,,2013-14,18,15,0.545,,,,,18,15,0.545,,,,,Chattanooga,Southern,22,10,0.688,,,,2013-14,40,25,0.615,,,,,40,25,0.615,,,,,VCU,A-10,25,11,0.694,,,Lost Second Round,2015-16,25,11,0.694,1,,,,65,36,0.644,1,,,,VCU,A-10,26,9,0.743,,,Lost First Round,2015-16,51,20,0.718,2,,,,91,45,0.669,2,,,,LSU,SEC,18,15,0.545,,,,2017-18,18,15,0.545,,,,,109,60,0.645,2,,,,N,
54,Tracy Dildy,Chicago State,WAC,13,19,0.406,,,,2010-11,34,93,0.268,,,,,34,93,0.268,,,,,Chicago State,WAC,8,24,0.25,,,,2010-11,42,117,0.264,,,,,42,117,0.264,,,,,Chicago State,WAC,4,28,0.125,,,,2010-11,46,145,0.241,,,,,46,145,0.241,,,,,Chicago State,WAC,6,26,0.188,,,,2010-11,52,171,0.233,,,,,52,171,0.233,,,,,Chicago State,WAC,3,29,0.094,,,,2010-11,55,200,0.216,,,,,55,200,0.216,,,,,N,
55,Mick Cronin,Cincinnati,AAC,27,7,0.794,,15,Lost Second Round,2006-07,162,107,0.602,4,1,,,231,131,0.638,6,1,,,Cincinnati,AAC,23,11,0.676,,,Lost Third Round,2006-07,185,118,0.611,5,1,,,254,142,0.641,7,1,,,Cincinnati,AAC,22,11,0.667,,,Lost First Round,2006-07,207,129,0.616,6,1,,,276,153,0.643,8,1,,,Cincinnati,AAC,30,6,0.833,,18,Lost Second Round,2006-07,237,135,0.637,7,1,,,306,159,0.658,9,1,,,Cincinnati,AAC,31,5,0.861,12,6,Lost Second Round,2006-07,268,140,0.657,8,1,,,337,164,0.673,10,1,,,N,
56,Chuck Driesell,Citadel,Southern,7,26,0.212,,,,2010-11,31,94,0.248,,,,,31,94,0.248,,,,,Citadel,Southern,11,19,0.367,,,,2010-11,42,113,0.271,,,,,42,113,0.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2015
57,Brad Brownell,Clemson,ACC,23,13,0.639,,,,2010-11,74,58,0.561,1,,,,241,143,0.628,4,,,,Clemson,ACC,16,15,0.516,,,,2010-11,90,73,0.552,1,,,,257,158,0.619,4,,,,Clemson,ACC,17,14,0.548,,,,2010-11,107,87,0.552,1,,,,274,172,0.614,4,,,,Clemson,ACC,17,16,0.515,,,,2010-11,124,103,0.546,1,,,,291,188,0.608,4,,,,Clemson,ACC,25,10,0.714,,20,Lost Regional Semifinal,2010-11,149,113,0.569,2,1,,,316,198,0.615,5,1,,,N,
58,Gary Waters,Cleveland State,Horizon,21,12,0.636,,,,2006-07,157,112,0.584,1,,,,328,247,0.57,3,,,,Cleveland State,Horizon,19,15,0.559,,,,2006-07,176,127,0.581,1,,,,347,262,0.57,3,,,,Cleveland State,Horizon,9,23,0.281,,,,2006-07,185,150,0.552,1,,,,356,285,0.555,3,,,,Cleveland State,Horizon,9,22,0.29,,,,2006-07,194,172,0.53,1,,,,365,307,0.543,3,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
59,Cliff Ellis,Coastal Carolina,Big South,21,13,0.618,,,Lost Second Round,2007-08,134,88,0.604,1,,,,670,426,0.611,9,3,,,Coastal Carolina,Big South,24,10,0.706,,,Lost Second Round,2007-08,158,98,0.617,2,,,,694,436,0.614,10,3,,,Coastal Carolina,Big South,21,12,0.636,,,,2007-08,179,110,0.619,2,,,,715,448,0.615,10,3,,,Coastal Carolina,Sun Belt,20,19,0.513,,,,2007-08,199,129,0.607,2,,,,735,467,0.611,10,3,,,Coastal Carolina,Sun Belt,14,18,0.438,,,,2007-08,213,147,0.592,2,,,,749,485,0.607,10,3,,,N,
60,Matt Langel,Colgate,Patriot,13,18,0.419,,,,2011-12,32,61,0.344,,,,,32,61,0.344,,,,,Colgate,Patriot,16,17,0.485,,,,2011-12,48,78,0.381,,,,,48,78,0.381,,,,,Colgate,Patriot,13,17,0.433,,,,2011-12,61,95,0.391,,,,,61,95,0.391,,,,,Colgate,Patriot,10,22,0.312,,,,2011-12,71,117,0.378,,,,,71,117,0.378,,,,,Colgate,Patriot,19,14,0.576,,,,2011-12,90,131,0.407,,,,,90,131,0.407,,,,,N,
61,Doug Wojcik,College of Charleston,CAA,14,18,0.438,,,,2012-13,38,29,0.567,,,,,178,121,0.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
62,Tad Boyle,Colorado,Pac-12,23,12,0.657,,,Lost Second Round,2010-11,92,50,0.648,3,,,,148,116,0.561,3,,,,Colorado,Pac-12,16,18,0.471,,,,2010-11,108,68,0.614,3,,,,164,134,0.55,3,,,,Colorado,Pac-12,22,12,0.647,,,Lost First Round,2010-11,130,80,0.619,4,,,,186,146,0.56,4,,,,Colorado,Pac-12,19,15,0.559,,,,2010-11,149,95,0.611,4,,,,205,161,0.56,4,,,,Colorado,Pac-12,17,15,0.531,,,,2010-11,166,110,0.601,4,,,,222,176,0.558,4,,,,N,
63,Larry Eustachy,Colorado State,MWC,16,16,0.5,,,,2012-13,42,25,0.627,1,,,,444,283,0.611,5,1,,,Colorado State,MWC,27,7,0.794,,,,2012-13,69,32,0.683,1,,,,471,290,0.619,5,1,,,Colorado State,MWC,18,16,0.529,,,,2012-13,87,48,0.644,1,,,,489,306,0.615,5,1,,,Colorado State,MWC,24,12,0.667,,,,2012-13,111,60,0.649,1,,,,513,318,0.617,5,1,,,Colorado State,MWC,11,21,0.344,,,,2012-13,122,81,0.601,1,,,,524,339,0.607,5,1,,,N,
64,Kyle Smith,Columbia,Ivy,21,13,0.618,,,,2010-11,63,57,0.525,,,,,63,57,0.525,,,,,Columbia,Ivy,13,15,0.464,,,,2010-11,76,72,0.514,,,,,76,72,0.514,,,,,Columbia,Ivy,25,10,0.714,,,,2010-11,101,82,0.552,,,,,101,82,0.552,,,,,San Francisco,WCC,20,13,0.606,,,,2016-17,20,13,0.606,,,,,121,95,0.56,,,,,San Francisco,WCC,22,17,0.564,,,,2016-17,42,30,0.583,,,,,143,112,0.561,,,,,N,
65,Kevin Ollie,UConn,AAC,32,8,0.8,18,18,Won National Final,2012-13,52,18,0.743,1,1,1,1,52,18,0.743,1,1,1,1,UConn,AAC,20,15,0.571,17,,,2012-13,72,33,0.686,1,1,1,1,72,33,0.686,1,1,1,1,UConn,AAC,25,11,0.694,20,,Lost Second Round,2012-13,97,44,0.688,2,1,1,1,97,44,0.688,2,1,1,1,UConn,AAC,16,17,0.485,18,,,2012-13,113,61,0.649,2,1,1,1,113,61,0.649,2,1,1,1,UConn,AAC,14,18,0.438,,,,2012-13,127,79,0.617,2,1,1,1,127,79,0.617,2,1,1,1,N,
66,Fang Mitchell,Coppin State,MEAC,12,20,0.375,,,,1986-87,429,417,0.507,4,,,,429,417,0.507,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
67,Bill Courtney,Cornell,Ivy,2,26,0.071,,,,2010-11,37,78,0.322,,,,,37,78,0.322,,,,,Cornell,Ivy,13,17,0.433,,,,2010-11,50,95,0.345,,,,,50,95,0.345,,,,,Cornell,Ivy,10,18,0.357,,,,2010-11,60,113,0.347,,,,,60,113,0.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
68,Greg McDermott,Creighton,Big East,27,8,0.771,,16,Lost Third Round,2010-11,107,38,0.738,3,,,,256,169,0.602,6,,,,Creighton,Big East,14,19,0.424,,,,2010-11,121,57,0.68,3,,,,270,188,0.59,6,,,,Creighton,Big East,20,15,0.571,,,,2010-11,141,72,0.662,3,,,,290,203,0.588,6,,,,Creighton,Big East,25,10,0.714,22,,Lost First Round,2010-11,166,82,0.669,4,,,,315,213,0.597,7,,,,Creighton,Big East,21,12,0.636,,,Lost First Round,2010-11,187,94,0.665,5,,,,336,225,0.599,8,,,,N,
69,Paul Cormier,Dartmouth,Ivy,12,16,0.429,,,,1984-85,118,178,0.399,,,,,204,289,0.414,1,,,,Dartmouth,Ivy,14,15,0.483,,,,1984-85,132,193,0.406,,,,,218,304,0.418,1,,,,Dartmouth,Ivy,10,18,0.357,,,,1984-85,142,211,0.402,,,,,228,322,0.415,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
70,Bob McKillop,Davidson,Southern,20,13,0.606,,,,1989-90,472,292,0.618,7,1,,,472,292,0.618,7,1,,,Davidson,A-10,24,8,0.75,,,Lost Second Round,1989-90,496,300,0.623,8,1,,,496,300,0.623,8,1,,,Davidson,A-10,20,13,0.606,,,,1989-90,516,313,0.622,8,1,,,516,313,0.622,8,1,,,Davidson,A-10,17,15,0.531,,,,1989-90,533,328,0.619,8,1,,,533,328,0.619,8,1,,,Davidson,A-10,21,12,0.636,,,Lost First Round,1989-90,554,340,0.62,9,1,,,554,340,0.62,9,1,,,N,
71,Archie Miller,Dayton,A-10,26,11,0.703,,,Lost Regional Final,2011-12,63,38,0.624,1,1,,,63,38,0.624,1,1,,,Dayton,A-10,27,9,0.75,,,Lost Third Round,2011-12,90,47,0.657,2,1,,,90,47,0.657,2,1,,,Dayton,A-10,25,8,0.758,,,Lost First Round,2011-12,115,55,0.676,3,1,,,115,55,0.676,3,1,,,Dayton,A-10,24,8,0.75,,,Lost First Round,2011-12,139,63,0.688,4,1,,,139,63,0.688,4,1,,,Indiana,Big Ten,16,15,0.516,,,,2017-18,16,15,0.516,,,,,155,78,0.665,4,1,,,N,
72,Monte Ross,Delaware,CAA,25,10,0.714,,,Lost Second Round,2006-07,115,141,0.449,1,,,,115,141,0.449,1,,,,Delaware,CAA,10,20,0.333,,,,2006-07,125,161,0.437,1,,,,125,161,0.437,1,,,,Delaware,CAA,7,23,0.233,,,,2006-07,132,184,0.418,1,,,,132,184,0.418,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
73,Greg Jackson,Delaware State,MEAC,4,15,0.211,,,,2000-01,200,216,0.481,1,,,,200,216,0.481,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2014
74,Keith Walker,Delaware State,MEAC,5,6,0.455,,,,2013-14,5,6,0.455,,,,,5,6,0.455,,,,,Delaware State,MEAC,18,18,0.5,,,,2013-14,23,24,0.489,,,,,23,24,0.489,,,,,Delaware State,MEAC,7,25,0.219,,,,2013-14,30,49,0.38,,,,,30,49,0.38,,,,,Delaware State,MEAC,10,22,0.312,,,,2013-14,40,71,0.36,,,,,40,71,0.36,,,,,Delaware State,MEAC,3,25,0.107,,,,2013-14,43,96,0.309,,,,,43,96,0.309,,,,,N,
75,Joe Scott,Denver,Summit,16,15,0.516,,,,2007-08,118,99,0.544,,,,,207,207,0.5,1,,,,Denver,Summit,12,18,0.4,,,,2007-08,130,117,0.526,,,,,219,225,0.493,1,,,,Denver,Summit,16,15,0.516,,,,2007-08,146,132,0.525,,,,,235,240,0.495,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
76,Oliver Purnell,DePaul,Big East,12,21,0.364,,,,2010-11,42,85,0.331,,,,,436,364,0.545,6,,,,DePaul,Big East,12,20,0.375,,,,2010-11,54,105,0.34,,,,,448,384,0.538,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
77,Ray McCallum,Detroit,Horizon,13,19,0.406,,,,2008-09,99,99,0.5,1,,,,269,248,0.52,3,,,,Detroit,Horizon,15,18,0.455,,,,2008-09,114,117,0.494,1,,,,284,266,0.516,3,,,,Detroit,Horizon,16,15,0.516,,,,2008-09,130,132,0.496,1,,,,300,281,0.516,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
78,Ray Giacoletti,Drake,MVC,15,16,0.484,,,,2013-14,15,16,0.484,,,,,138,106,0.566,2,1,,,Drake,MVC,9,22,0.29,,,,2013-14,24,38,0.387,,,,,147,128,0.535,2,1,,,Drake,MVC,7,24,0.226,,,,2013-14,31,62,0.333,,,,,154,152,0.503,2,1,,,Drake,MVC,1,7,0.125,,,,2013-14,32,69,0.317,,,,,155,159,0.494,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,N,
79,Bruiser Flint,Drexel,CAA,16,14,0.533,,,,2001-02,228,173,0.569,,,,,314,245,0.562,2,,,,Drexel,CAA,11,19,0.367,,,,2001-02,239,192,0.555,,,,,325,264,0.552,2,,,,Drexel,CAA,6,25,0.194,,,,2001-02,245,217,0.53,,,,,331,289,0.534,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2016
80,Mike Krzyzewski,Duke,ACC,26,9,0.743,4,8,Lost Second Round,1980-81,910,247,0.787,30,21,11,4,983,306,0.763,30,21,11,4,Duke,ACC,35,4,0.897,4,4,Won National Final,1980-81,945,251,0.79,31,22,12,5,1018,310,0.767,31,22,12,5,Duke,ACC,25,11,0.694,5,19,Lost Regional Semifinal,1980-81,970,262,0.787,32,23,12,5,1043,321,0.765,32,23,12,5,Duke,ACC,28,9,0.757,1,7,Lost Second Round,1980-81,998,271,0.786,33,23,12,5,1071,330,0.764,33,23,12,5,Duke,ACC,29,8,0.784,1,9,Lost Regional Final,1980-81,1027,279,0.786,34,24,12,5,1100,338,0.765,34,24,12,5,N,
81,Jim Ferry,Duquesne,A-10,13,17,0.433,,,,2012-13,21,39,0.35,,,,,171,188,0.476,2,,,,Duquesne,A-10,12,19,0.387,,,,2012-13,33,58,0.363,,,,,183,207,0.469,2,,,,Duquesne,A-10,17,17,0.5,,,,2012-13,50,75,0.4,,,,,200,224,0.472,2,,,,Duquesne,A-10,10,22,0.312,,,,2012-13,60,97,0.382,,,,,210,246,0.461,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2017
82,Jeff Lebo,East Carolina,CUSA,17,17,0.5,,,,2010-11,73,61,0.545,,,,,284,217,0.567,,,,,East Carolina,AAC,14,19,0.424,,,,2010-11,87,80,0.521,,,,,298,236,0.558,,,,,East Carolina,AAC,12,20,0.375,,,,2010-11,99,100,0.497,,,,,310,256,0.548,,,,,East Carolina,AAC,15,18,0.455,,,,2010-11,114,118,0.491,,,,,325,274,0.543,,,,,East Carolina,AAC,2,4,0.333,,,,2010-11,116,122,0.487,,,,,327,278,0.54,,,,,N,
83,Murry Bartow,ETSU,A-Sun,19,16,0.543,,,,2003-04,208,151,0.579,3,,,,311,234,0.571,4,,,,ETSU,Southern,16,14,0.533,,,,2003-04,224,165,0.576,3,,,,327,248,0.569,4,,,,,,,,,,,,,,,,,,,,,,,,,,,South Florida,AAC,1,16,0.059,,,,2016-17,1,16,0.059,,,,,328,264,0.554,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2015
84,Jay Spoonhour,Eastern Illinois,OVC,11,19,0.367,,,,2012-13,22,40,0.355,,,,,28,44,0.389,,,,,Eastern Illinois,OVC,18,15,0.545,,,,2012-13,40,55,0.421,,,,,46,59,0.438,,,,,Eastern Illinois,OVC,13,17,0.433,,,,2012-13,53,72,0.424,,,,,59,76,0.437,,,,,Eastern Illinois,OVC,14,15,0.483,,,,2012-13,67,87,0.435,,,,,73,91,0.445,,,,,Eastern Illinois,OVC,12,19,0.387,,,,2012-13,79,106,0.427,,,,,85,110,0.436,,,,,N,
85,Jeff Neubauer,Eastern Kentucky,OVC,24,10,0.706,,,Lost Second Round,2005-06,167,122,0.578,2,,,,167,122,0.578,2,,,,Eastern Kentucky,OVC,21,12,0.636,,,,2005-06,188,134,0.584,2,,,,188,134,0.584,2,,,,Fordham,A-10,17,14,0.548,,,,2015-16,17,14,0.548,,,,,205,148,0.581,2,,,,Fordham,A-10,13,19,0.406,,,,2015-16,30,33,0.476,,,,,218,167,0.566,2,,,,Fordham,A-10,9,22,0.29,,,,2015-16,39,55,0.415,,,,,227,189,0.546,2,,,,N,
