Coach,School,Conference,W_2014,L_2014,W-L%_2014,AP_Pre_2014,AP_Post_2014,NCAA_Tournament_2014,Since_2014,W_Career_2014,L_Career_2014,W-L%_Career_2014,NCAA_Career_2014,S16_Career_2014,FF_Career_2014,Chmp_Career_2014,W_Overall_2014,L_Overall_2014,W-L%_Overall_2014,NCAA_Overall_2014,S16_Overall_2014,FF_Overall_2014,Chmp_Overall_2014
Bob Walsh,Maine,AEC,3,27,0.1,,,,2014-15,3,27,0.1,,,,,3,27,0.1,,,,
Steve Masiello,Manhattan,MAAC,19,14,0.576,,,,2011-12,79,53,0.598,2,,,,79,53,0.598,2,,,
Mike Maker,Marist,MAAC,7,25,0.219,,,,2014-15,7,25,0.219,,,,,7,25,0.219,,,,
Steve Wojciechowski,Marquette,Big East,13,19,0.406,,,,2014-15,13,19,0.406,,,,,13,19,0.406,,,,
Dan D'Antoni,Marshall,CUSA,11,21,0.344,,,,2014-15,11,21,0.344,,,,,11,21,0.344,,,,
Mark Turgeon,Maryland,Big Ten,28,7,0.8,,12,Lost Third Round,2011-12,87,50,0.635,1,,,,337,209,0.617,6,1,,
Aki Thomas,UMBC,AEC,4,26,0.133,,,,2012-13,21,70,0.231,,,,,21,70,0.231,,,,
Bobby Collins,Maryland-Eastern Shore,MEAC,18,15,0.545,,,,2014-15,18,15,0.545,,,,,120,153,0.44,1,,,
Derek Kellogg,UMass,A-10,17,15,0.531,,,,2008-09,126,101,0.555,1,,,,126,101,0.555,1,,,
Pat Duquette,UMass-Lowell,AEC,12,17,0.414,,,,2013-14,22,35,0.386,,,,,22,35,0.386,,,,
Dave Simmons,McNeese State,Southland,15,16,0.484,,,,2006-07,127,152,0.455,,,,,127,152,0.455,,,,
Josh Pastner,Memphis,AAC,18,14,0.562,,,,2009-10,148,58,0.718,4,,,,148,58,0.718,4,,,
Bob Hoffman,Mercer,Southern,19,16,0.543,,,,2008-09,145,98,0.597,1,,,,213,175,0.549,1,,,
Jim Larranaga,Miami (FL),ACC,25,13,0.658,,,,2011-12,91,49,0.65,1,1,,,533,358,0.598,6,2,1,
John Cooper,Miami (OH),MAC,13,19,0.406,,,,2012-13,35,59,0.372,,,,,78,111,0.413,,,,
John Beilein,Michigan,Big Ten,16,16,0.5,24,,,2007-08,166,110,0.601,5,2,1,,459,285,0.617,9,4,1,
Tom Izzo,Michigan State,Big Ten,27,12,0.692,18,23,Lost National Semifinal,1995-96,495,199,0.713,18,13,7,1,495,199,0.713,18,13,7,1
Kermit Davis,Middle Tennessee,CUSA,19,17,0.528,,,,2002-03,251,165,0.603,1,,,,322,215,0.6,3,,,
Rob Jeter,Milwaukee,Horizon,14,16,0.467,,,,2005-06,164,157,0.511,2,,,,164,157,0.511,2,,,
Richard Pitino,Minnesota,Big Ten,18,15,0.545,,,,2013-14,43,28,0.606,,,,,61,42,0.592,,,,
Andy Kennedy,Ole Miss,SEC,21,13,0.618,,,Lost Second Round,2006-07,192,114,0.627,2,,,,213,127,0.626,2,,,
Rick Ray,Mississippi State,SEC,13,19,0.406,,,,2012-13,37,60,0.381,,,,,37,60,0.381,,,,
Andre Payne,Mississippi Valley State,SWAC,6,26,0.188,,,,2014-15,6,26,0.188,,,,,6,26,0.188,,,,
Kim Anderson,Missouri,SEC,9,23,0.281,,,,2014-15,9,23,0.281,,,,,9,23,0.281,,,,
Kareem Richardson,UMKC,WAC,14,19,0.424,,,,2013-14,24,39,0.381,,,,,24,39,0.381,,,,
Paul Lusk,Missouri State,MVC,11,20,0.355,,,,2011-12,58,71,0.45,,,,,58,71,0.45,,,,
King Rice,Monmouth,MAAC,18,15,0.545,,,,2011-12,51,77,0.398,,,,,51,77,0.398,,,,
Travis DeCuire,Montana,Big Sky,20,13,0.606,,,,2014-15,20,13,0.606,,,,,20,13,0.606,,,,
Brian Fish,Montana State,Big Sky,7,23,0.233,,,,2014-15,7,23,0.233,,,,,7,23,0.233,,,,
Sean Woods,Morehead State,OVC,17,17,0.5,,,,2012-13,52,49,0.515,,,,,102,129,0.442,1,,,
Todd Bozeman*,Morgan State,MEAC,7,24,0.226,,,,2006-07,150,140,0.517,2,,,,213,175,0.549,5,1,,
Jamion Christian,Mount St. Mary's,NEC,15,15,0.5,,,,2012-13,49,46,0.516,1,,,,49,46,0.516,1,,,
Steve Prohm,Murray State,OVC,29,6,0.829,,,,2011-12,104,29,0.782,1,,,,104,29,0.782,1,,,
Ed DeChellis,Navy,Patriot,13,19,0.406,,,,2011-12,33,89,0.27,,,,,252,320,0.441,2,,,
Tim Miles,Nebraska,Big Ten,13,18,0.419,21,,,2012-13,47,49,0.49,1,,,,154,157,0.495,2,,,
Derrin Hansen,Omaha,Summit,12,17,0.414,,,,2012-13,40,52,0.435,,,,,40,52,0.435,,,,
David Carter,Nevada,MWC,9,22,0.29,,,,2009-10,98,97,0.503,,,,,98,97,0.503,,,,
Dave Rice,UNLV,MWC,18,15,0.545,,,,2011-12,89,47,0.654,2,,,,89,47,0.654,2,,,
Bill Herrion,New Hampshire,AEC,19,13,0.594,,,,2005-06,117,181,0.393,,,,,354,350,0.503,3,,,
Craig Neal,New Mexico,MWC,15,16,0.484,,,,2013-14,42,23,0.646,1,,,,42,23,0.646,1,,,
Marvin Menzies,New Mexico State,WAC,23,11,0.676,,,Lost Second Round,2007-08,175,100,0.636,5,,,,175,100,0.636,5,,,
Mark Slessinger,New Orleans,Southland,11,18,0.379,,,,2012-13,30,51,0.37,,,,,30,51,0.37,,,,
Chris Casey,Niagara,MAAC,8,22,0.267,,,,2013-14,15,48,0.238,,,,,15,48,0.238,,,,
J.P. Piper,Nicholls State,Southland,10,19,0.345,,,,2004-05,121,201,0.376,,,,,121,201,0.376,,,,
Jim Engles,NJIT,Ind,21,12,0.636,,,,2008-09,91,124,0.423,,,,,91,124,0.423,,,,
Robert Jones,Norfolk State,MEAC,20,14,0.588,,,,2013-14,39,29,0.574,,,,,39,29,0.574,,,,
Roy Williams,UNC,ACC,26,12,0.684,6,15,Lost Regional Semifinal,2003-04,332,101,0.767,11,7,3,2,750,202,0.788,25,16,7,2
Nick McDevitt,UNC Asheville,Big South,15,16,0.484,,,,2013-14,32,31,0.508,,,,,32,31,0.508,,,,
Cy Alexander,North Carolina A&T,MEAC,9,23,0.281,,,,2012-13,38,63,0.376,1,,,,381,369,0.508,6,,,
LeVelle Moton,North Carolina Central,MEAC,25,8,0.758,,,,2009-10,114,75,0.603,1,,,,114,75,0.603,1,,,
Wes Miller,UNC Greensboro,Southern,11,22,0.333,,,,2011-12,45,73,0.381,,,,,45,73,0.381,,,,
